TITLE;
DATA TYPE;INFRARED SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;25/03/20
TIME;13:16:45
SPECTROMETER/DATA SYSTEM;
LOCALE;9226
RESOLUTION;
DELTAX;0,964233
XUNITS;1/CM
YUNITS;ABSORBANCE
FIRSTX;  399,1927
LASTX; 4000,6047
NPOINTS;    3736
FIRSTY;     0,28817
MAXY;     0,39077
MINY;    -0,00873
XYDATA
399,1927;0,288168
400,1569;0,288421
401,1211;0,28713
402,0854;0,284884
403,0496;0,28227
404,0138;0,279877
404,9781;0,278299
405,9423;0,277992
406,9065;0,279045
407,8708;0,281089
408,8350;0,283466
409,7992;0,285542
410,7635;0,286955
411,7277;0,28772
412,6919;0,288114
413,6562;0,288469
414,6204;0,289013
415,5846;0,289862
416,5489;0,291095
417,5131;0,292774
418,4773;0,294845
419,4416;0,297015
420,4058;0,298873
421,3700;0,300166
422,3343;0,300812
423,2985;0,300775
424,2627;0,300055
425,2270;0,298783
426,1912;0,297289
427,1554;0,296036
428,1197;0,295447
429,0839;0,295744
430,0481;0,296879
431,0124;0,298547
431,9766;0,300274
432,9408;0,30157
433,9051;0,302094
434,8693;0,301763
435,8335;0,300753
436,7978;0,299406
437,7620;0,298071
438,7262;0,296974
439,6905;0,296186
440,6547;0,295659
441,6189;0,295282
442,5832;0,294914
443,5474;0,294424
444,5116;0,293742
445,4759;0,292901
446,4401;0,292032
447,4043;0,291295
448,3686;0,290787
449,3328;0,290469
450,2970;0,290171
451,2613;0,289682
452,2255;0,288905
453,1897;0,287942
454,1540;0,287066
455,1182;0,286573
456,0824;0,286598
457,0467;0,286969
458,0109;0,287245
458,9751;0,287
459,9394;0,286157
460,9036;0,285006
461,8678;0,283948
462,8321;0,28324
463,7963;0,282892
464,7605;0,282703
465,7248;0,282404
466,6890;0,281854
467,6532;0,281152
468,6175;0,280582
469,5817;0,280445
470,5459;0,280879
471,5102;0,28174
472,4744;0,282649
473,4386;0,283203
474,4029;0,28322
475,3671;0,28279
476,3313;0,282154
477,2956;0,281559
478,2598;0,281199
479,2240;0,281215
480,1883;0,281701
481,1525;0,282675
482,1167;0,284037
483,0810;0,285546
484,0452;0,286876
485,0094;0,287763
485,9737;0,288155
486,9379;0,288241
487,9021;0,288322
488,8664;0,288642
489,8306;0,28927
490,7948;0,290085
491,7591;0,29085
492,7233;0,291342
493,6875;0,291465
494,6518;0,291287
495,6160;0,290976
496,5802;0,290718
497,5445;0,290648
498,5087;0,290829
499,4729;0,291252
500,4372;0,291841
501,4014;0,292486
502,3656;0,293087
503,3299;0,293598
504,2941;0,294047
505,2583;0,294488
506,2226;0,294951
507,1868;0,295405
508,1510;0,295777
509,1153;0,296005
510,0795;0,296098
511,0437;0,296161
512,0080;0,296365
512,9722;0,296883
513,9365;0,297823
514,9007;0,299174
515,8649;0,30077
516,8292;0,302303
517,7934;0,303412
518,7576;0,303852
519,7219;0,303624
520,6861;0,302955
521,6503;0,302152
522,6146;0,301458
523,5788;0,300986
524,5430;0,300721
525,5073;0,300549
526,4715;0,300328
527,4357;0,299955
528,4000;0,299404
529,3642;0,298721
530,3284;0,297997
531,2927;0,297336
532,2569;0,296834
533,2211;0,296535
534,1854;0,296402
535,1496;0,296322
536,1138;0,296152
537,0781;0,295789
538,0423;0,295227
539,0065;0,294564
539,9708;0,293961
540,9350;0,293572
541,8992;0,293492
542,8635;0,293735
543,8277;0,294237
544,7919;0,294887
545,7562;0,295553
546,7204;0,296121
547,6846;0,296529
548,6489;0,296776
549,6131;0,296914
550,5773;0,297017
551,5416;0,297155
552,5058;0,29737
553,4700;0,297669
554,4343;0,298015
555,3985;0,298329
556,3627;0,298488
557,3270;0,298348
558,2912;0,297788
559,2554;0,296754
560,2197;0,295294
561,1839;0,293558
562,1481;0,291758
563,1124;0,29011
564,0766;0,288766
565,0408;0,287781
566,0051;0,287103
566,9693;0,286613
567,9335;0,286167
568,8978;0,285662
569,8620;0,28507
570,8262;0,284444
571,7905;0,283882
572,7547;0,283483
573,7189;0,283304
574,6832;0,283332
575,6474;0,283488
576,6116;0,283654
577,5759;0,283716
578,5401;0,283612
579,5043;0,283349
580,4686;0,282985
581,4328;0,282587
582,3970;0,282194
583,3613;0,281799
584,3255;0,281372
585,2897;0,280899
586,2540;0,280417
587,2182;0,280007
588,1824;0,279748
589,1467;0,279667
590,1109;0,279702
591,0751;0,279723
592,0394;0,279592
593,0036;0,279237
593,9678;0,278677
594,9321;0,277994
595,8963;0,277264
596,8605;0,276525
597,8248;0,275776
598,7890;0,275011
599,7532;0,274251
600,7175;0,273539
601,6817;0,272907
602,6459;0,272353
603,6102;0,271825
604,5744;0,27125
605,5386;0,270566
606,5029;0,269748
607,4671;0,268803
608,4313;0,267763
609,3956;0,266668
610,3598;0,26557
611,3240;0,264532
612,2883;0,263616
613,2525;0,262858
614,2167;0,262225
615,1810;0,2616
616,1452;0,260804
617,1094;0,259661
618,0737;0,258094
619,0379;0,256164
620,0021;0,254038
620,9664;0,251897
621,9306;0,249881
622,8948;0,248062
623,8591;0,246469
624,8233;0,245054
625,7875;0,243909
626,7518;0,242996
627,7160;0,242237
628,6802;0,241524
629,6445;0,240761
630,6087;0,239888
631,5729;0,238911
632,5372;0,237881
633,5014;0,236866
634,4656;0,235911
635,4299;0,235028
636,3941;0,234197
637,3583;0,233395
638,3226;0,232614
639,2868;0,231865
640,2510;0,231168
641,2153;0,230532
642,1795;0,229948
643,1437;0,229389
644,1080;0,228819
645,0722;0,228207
646,0364;0,227532
647,0007;0,22679
647,9649;0,226004
648,9291;0,225221
649,8934;0,224506
650,8576;0,223927
651,8218;0,223526
652,7861;0,223309
