TITLE;
DATA TYPE;INFRARED SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;25/03/18
TIME;12:05:53
SPECTROMETER/DATA SYSTEM;
LOCALE;9226
RESOLUTION;
DELTAX;0,964233
XUNITS;1/CM
YUNITS;ABSORBANCE
FIRSTX;  399,1927
LASTX; 4000,6047
NPOINTS;    3736
FIRSTY;     0,21441
MAXY;     0,24250
MINY;     0,00994
XYDATA
399,1927;0,214407
400,1569;0,211365
401,1211;0,209267
402,0854;0,208712
403,0496;0,209605
404,0138;0,211426
404,9781;0,213431
405,9423;0,214889
406,9065;0,215356
407,8708;0,214844
408,8350;0,21373
409,7992;0,21252
410,7635;0,211646
411,7277;0,211358
412,6919;0,21171
413,6562;0,21262
414,6204;0,213954
415,5846;0,215577
416,5489;0,217319
417,5131;0,218905
418,4773;0,219968
419,4416;0,220334
420,4058;0,220268
421,3700;0,220228
422,3343;0,220487
423,2985;0,221086
424,2627;0,221923
425,2270;0,222823
426,1912;0,223596
427,1554;0,224099
428,1197;0,224294
429,0839;0,224273
430,0481;0,224224
431,0124;0,224354
431,9766;0,224783
432,9408;0,225448
433,9051;0,226094
434,8693;0,226391
435,8335;0,226122
436,7978;0,225338
437,7620;0,224331
438,7262;0,223452
439,6905;0,222918
440,6547;0,222726
441,6189;0,22269
442,5832;0,222558
443,5474;0,222162
444,5116;0,221511
445,4759;0,220751
446,4401;0,220049
447,4043;0,219509
448,3686;0,219158
449,3328;0,218981
450,2970;0,218947
451,2613;0,219006
452,2255;0,219084
453,1897;0,219084
454,1540;0,218912
455,1182;0,218517
456,0824;0,217926
457,0467;0,217263
458,0109;0,216724
458,9751;0,216469
459,9394;0,216534
460,9036;0,216829
461,8678;0,217212
462,8321;0,217542
463,7963;0,217698
464,7605;0,217587
465,7248;0,217167
466,6890;0,216477
467,6532;0,215629
468,6175;0,214777
469,5817;0,214079
470,5459;0,21367
471,5102;0,213628
472,4744;0,213943
473,4386;0,2145
474,4029;0,215134
475,3671;0,215699
476,3313;0,216108
477,2956;0,216327
478,2598;0,216363
479,2240;0,216243
480,1883;0,216015
481,1525;0,215736
482,1167;0,215472
483,0810;0,215282
484,0452;0,215205
485,0094;0,215247
485,9737;0,21539
486,9379;0,215611
487,9021;0,215904
488,8664;0,216281
489,8306;0,216751
490,7948;0,217283
491,7591;0,217799
492,7233;0,2182
493,6875;0,218421
494,6518;0,21848
495,6160;0,218471
496,5802;0,218516
497,5445;0,218694
498,5087;0,219
499,4729;0,219342
500,4372;0,219581
501,4014;0,219602
502,3656;0,219394
503,3299;0,219075
504,2941;0,218837
505,2583;0,218861
506,2226;0,219245
507,1868;0,219971
508,1510;0,220924
509,1153;0,221938
510,0795;0,222853
511,0437;0,223573
512,0080;0,224077
512,9722;0,224406
513,9365;0,224629
514,9007;0,224807
515,8649;0,224965
516,8292;0,225082
517,7934;0,225097
518,7576;0,224961
519,7219;0,224682
520,6861;0,224333
521,6503;0,224022
522,6146;0,223838
523,5788;0,223821
524,5430;0,223937
525,5073;0,224085
526,4715;0,224134
527,4357;0,223988
528,4000;0,22363
529,3642;0,223112
530,3284;0,222513
531,2927;0,221908
532,2569;0,22135
533,2211;0,220862
534,1854;0,22045
535,1496;0,22011
536,1138;0,219847
537,0781;0,219664
538,0423;0,21956
539,0065;0,219515
539,9708;0,219494
540,9350;0,219465
541,8992;0,219429
542,8635;0,219423
543,8277;0,219505
544,7919;0,219712
545,7562;0,220034
546,7204;0,220408
547,6846;0,220761
548,6489;0,221052
549,6131;0,221298
550,5773;0,221557
551,5416;0,221896
552,5058;0,222347
553,4700;0,222898
554,4343;0,223486
555,3985;0,224009
556,3627;0,224331
557,3270;0,224312
558,2912;0,223842
559,2554;0,222886
560,2197;0,221513
561,1839;0,219881
562,1481;0,218184
563,1124;0,216587
564,0766;0,215172
565,0408;0,213944
566,0051;0,212859
566,9693;0,211878
567,9335;0,210996
568,8978;0,210234
569,8620;0,209617
570,8262;0,20915
571,7905;0,208808
572,7547;0,208555
573,7189;0,208346
574,6832;0,20814
575,6474;0,207892
576,6116;0,207567
577,5759;0,207147
578,5401;0,206642
579,5043;0,206101
580,4686;0,205593
581,4328;0,205189
582,3970;0,204933
583,3613;0,204821
584,3255;0,204803
585,2897;0,204809
586,2540;0,204777
587,2182;0,204679
588,1824;0,204521
589,1467;0,204332
590,1109;0,20414
591,0751;0,203949
592,0394;0,203739
593,0036;0,203473
593,9678;0,203125
594,9321;0,202694
595,8963;0,20221
596,8605;0,201716
597,8248;0,201253
598,7890;0,200836
599,7532;0,200445
600,7175;0,200034
601,6817;0,199553
602,6459;0,198978
603,6102;0,198332
604,5744;0,197667
605,5386;0,197039
606,5029;0,196468
607,4671;0,195923
608,4313;0,195335
609,3956;0,194641
610,3598;0,19383
611,3240;0,192965
612,2883;0,192147
613,2525;0,19146
614,2167;0,190906
615,1810;0,190389
616,1452;0,189741
617,1094;0,1888
618,0737;0,187506
619,0379;0,185928
620,0021;0,184226
620,9664;0,182561
621,9306;0,181037
622,8948;0,179689
623,8591;0,178508
624,8233;0,177458
625,7875;0,176554
626,7518;0,175786
627,7160;0,175137
628,6802;0,174567
629,6445;0,17402
630,6087;0,173438
631,5729;0,172781
632,5372;0,172047
633,5014;0,171275
634,4656;0,170538
635,4299;0,169908
636,3941;0,169432
637,3583;0,169102
638,3226;0,168861
639,2868;0,168622
640,2510;0,168305
641,2153;0,167876
642,1795;0,167356
643,1437;0,16681
644,1080;0,166309
645,0722;0,165896
646,0364;0,165572
647,0007;0,165301
647,9649;0,165046
648,9291;0,164796
649,8934;0,164574
650,8576;0,164426
651,8218;0,164389
652,7861;0,164474
