TITLE;
DATA TYPE;INFRARED SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;25/02/05
TIME;11:48:35
SPECTROMETER/DATA SYSTEM;
LOCALE;9226
RESOLUTION;
DELTAX;0,964233
XUNITS;1/CM
YUNITS;ABSORBANCE
FIRSTX;  399,1927
LASTX; 4000,6047
NPOINTS;    3736
FIRSTY;     0,13409
MAXY;     0,20016
MINY;    -0,01335
XYDATA
399,1927;0,134086
400,1569;0,131503
401,1211;0,129566
402,0854;0,128304
403,0496;0,127493
404,0138;0,126935
404,9781;0,126556
405,9423;0,126396
406,9065;0,126504
407,8708;0,126819
408,8350;0,127138
409,7992;0,127208
410,7635;0,126926
411,7277;0,126473
412,6919;0,126273
413,6562;0,126775
414,6204;0,128242
415,5846;0,130673
416,5489;0,133746
417,5131;0,136702
418,4773;0,138464
419,4416;0,138441
420,4058;0,137225
421,3700;0,135916
422,3343;0,135133
423,2985;0,134937
424,2627;0,135149
425,2270;0,135568
426,1912;0,136045
427,1554;0,136485
428,1197;0,136817
429,0839;0,136987
430,0481;0,13699
431,0124;0,136892
431,9766;0,136813
432,9408;0,136849
433,9051;0,137001
434,8693;0,13717
435,8335;0,137236
436,7978;0,137166
437,7620;0,137046
438,7262;0,137018
439,6905;0,137173
440,6547;0,137496
441,6189;0,137862
442,5832;0,138102
443,5474;0,138078
444,5116;0,137745
445,4759;0,137145
446,4401;0,136367
447,4043;0,135511
448,3686;0,134678
449,3328;0,133973
450,2970;0,133488
451,2613;0,133281
452,2255;0,133361
453,1897;0,133689
454,1540;0,134193
455,1182;0,134761
456,0824;0,135235
457,0467;0,135421
458,0109;0,135181
458,9751;0,134542
459,9394;0,133706
460,9036;0,132913
461,8678;0,13232
462,8321;0,131966
463,7963;0,131818
464,7605;0,131813
465,7248;0,131897
466,6890;0,132039
467,6532;0,13222
468,6175;0,132429
469,5817;0,132646
470,5459;0,13285
471,5102;0,133008
472,4744;0,13308
473,4386;0,13302
474,4029;0,132794
475,3671;0,132406
476,3313;0,131911
477,2956;0,131407
478,2598;0,131006
479,2240;0,130802
480,1883;0,130833
481,1525;0,13107
482,1167;0,131439
483,0810;0,131854
484,0452;0,132253
485,0094;0,132607
485,9737;0,13293
486,9379;0,133258
487,9021;0,133634
488,8664;0,134084
489,8306;0,134598
490,7948;0,135116
491,7591;0,135545
492,7233;0,135796
493,6875;0,135839
494,6518;0,135718
495,6160;0,135538
496,5802;0,135418
497,5445;0,135444
498,5087;0,135656
499,4729;0,136035
500,4372;0,136518
501,4014;0,13701
502,3656;0,137415
503,3299;0,137669
504,2941;0,137769
505,2583;0,13776
506,2226;0,13771
507,1868;0,137674
508,1510;0,137679
509,1153;0,137729
510,0795;0,137828
511,0437;0,138003
512,0080;0,138312
512,9722;0,138821
513,9365;0,139567
514,9007;0,140514
515,8649;0,141539
516,8292;0,142451
517,7934;0,143074
518,7576;0,143341
519,7219;0,143331
520,6861;0,143209
521,6503;0,143116
522,6146;0,143107
523,5788;0,143156
524,5430;0,143195
525,5073;0,143171
526,4715;0,143077
527,4357;0,142946
528,4000;0,142809
529,3642;0,142662
530,3284;0,142475
531,2927;0,142221
532,2569;0,141908
533,2211;0,141579
534,1854;0,14129
535,1496;0,141071
536,1138;0,140918
537,0781;0,140804
538,0423;0,140704
539,0065;0,14062
539,9708;0,140571
540,9350;0,140585
541,8992;0,140674
542,8635;0,140834
543,8277;0,141048
544,7919;0,141295
545,7562;0,141553
546,7204;0,141803
547,6846;0,142032
548,6489;0,142234
549,6131;0,142412
550,5773;0,14258
551,5416;0,142763
552,5058;0,142993
553,4700;0,143295
554,4343;0,143673
555,3985;0,144093
556,3627;0,144478
557,3270;0,144725
558,2912;0,144743
559,2554;0,144482
560,2197;0,143958
561,1839;0,143244
562,1481;0,142439
563,1124;0,141639
564,0766;0,140899
565,0408;0,140228
566,0051;0,139602
566,9693;0,138987
567,9335;0,138372
568,8978;0,137778
569,8620;0,137258
570,8262;0,136865
571,7905;0,136632
572,7547;0,136558
573,7189;0,136614
574,6832;0,136754
575,6474;0,136928
576,6116;0,137092
577,5759;0,137215
578,5401;0,137272
579,5043;0,137252
580,4686;0,137157
581,4328;0,137007
582,3970;0,13683
583,3613;0,136661
584,3255;0,136525
585,2897;0,136439
586,2540;0,136416
587,2182;0,13647
588,1824;0,13661
589,1467;0,13683
590,1109;0,137089
591,0751;0,137317
592,0394;0,137436
593,0036;0,1374
593,9678;0,137222
594,9321;0,136961
595,8963;0,13668
596,8605;0,136413
597,8248;0,136152
598,7890;0,135864
599,7532;0,135525
600,7175;0,135143
601,6817;0,134758
602,6459;0,134414
603,6102;0,134134
604,5744;0,133909
605,5386;0,133709
606,5029;0,133494
607,4671;0,133218
608,4313;0,132838
609,3956;0,132327
610,3598;0,131708
611,3240;0,131067
612,2883;0,130545
613,2525;0,130278
614,2167;0,130303
615,1810;0,130505
616,1452;0,130619
617,1094;0,130344
618,0737;0,129499
619,0379;0,128136
620,0021;0,126499
620,9664;0,124879
621,9306;0,123484
622,8948;0,122382
623,8591;0,121526
624,8233;0,120758
625,7875;0,120114
626,7518;0,119553
627,7160;0,119066
628,6802;0,118642
629,6445;0,118275
630,6087;0,117954
631,5729;0,117677
632,5372;0,117443
633,5014;0,117241
634,4656;0,117051
635,4299;0,116852
636,3941;0,116639
637,3583;0,116432
638,3226;0,116263
639,2868;0,116152
640,2510;0,116091
641,2153;0,116043
642,1795;0,115971
643,1437;0,115865
644,1080;0,115754
645,0722;0,115688
646,0364;0,115703
647,0007;0,115797
647,9649;0,115917
648,9291;0,115984
649,8934;0,115936
650,8576;0,115758
651,8218;0,115498
652,7861;0,115243
