TITLE;
DATA TYPE;INFRARED SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;25/02/25
TIME;14:45:28
SPECTROMETER/DATA SYSTEM;
LOCALE;9226
RESOLUTION;
DELTAX;0,964233
XUNITS;1/CM
YUNITS;ABSORBANCE
FIRSTX;  399,1927
LASTX; 4000,6047
NPOINTS;    3736
FIRSTY;     0,21213
MAXY;     0,28918
MINY;     0,01360
XYDATA
399,1927;0,212132
400,1569;0,212659
401,1211;0,212996
402,0854;0,213057
403,0496;0,212834
404,0138;0,212376
404,9781;0,211804
405,9423;0,2113
406,9065;0,211053
407,8708;0,21117
408,8350;0,211628
409,7992;0,2123
410,7635;0,213021
411,7277;0,213645
412,6919;0,214085
413,6562;0,214308
414,6204;0,214321
415,5846;0,214186
416,5489;0,214067
417,5131;0,214282
418,4773;0,215192
419,4416;0,216812
420,4058;0,21864
421,3700;0,220103
422,3343;0,220976
423,2985;0,221335
424,2627;0,221393
425,2270;0,221375
426,1912;0,221442
427,1554;0,221637
428,1197;0,221897
429,0839;0,222121
430,0481;0,222245
431,0124;0,222277
431,9766;0,222287
432,9408;0,222361
433,9051;0,222543
434,8693;0,222802
435,8335;0,223024
436,7978;0,223057
437,7620;0,222781
438,7262;0,222172
439,6905;0,221316
440,6547;0,220393
441,6189;0,219604
442,5832;0,219079
443,5474;0,218796
444,5116;0,218584
445,4759;0,218248
446,4401;0,217694
447,4043;0,216966
448,3686;0,216185
449,3328;0,215459
450,2970;0,214827
451,2613;0,214272
452,2255;0,21377
453,1897;0,213353
454,1540;0,213122
455,1182;0,213195
456,0824;0,213618
457,0467;0,214262
458,0109;0,214807
458,9751;0,214916
459,9394;0,214472
460,9036;0,213653
461,8678;0,212793
462,8321;0,2122
463,7963;0,212022
464,7605;0,212191
465,7248;0,212464
466,6890;0,212563
467,6532;0,212351
468,6175;0,211893
469,5817;0,211399
470,5459;0,211075
471,5102;0,211008
472,4744;0,211132
473,4386;0,211311
474,4029;0,211479
475,3671;0,211681
476,3313;0,212004
477,2956;0,212481
478,2598;0,213042
479,2240;0,213545
480,1883;0,213852
481,1525;0,213911
482,1167;0,213782
483,0810;0,213611
484,0452;0,213568
485,0094;0,213772
485,9737;0,214245
486,9379;0,214911
487,9021;0,215639
488,8664;0,216293
489,8306;0,216777
490,7948;0,217061
491,7591;0,217194
492,7233;0,217266
493,6875;0,217357
494,6518;0,217494
495,6160;0,217658
496,5802;0,217829
497,5445;0,218015
498,5087;0,218254
499,4729;0,218584
500,4372;0,218996
501,4014;0,219432
502,3656;0,219806
503,3299;0,220065
504,2941;0,220212
505,2583;0,220305
506,2226;0,220415
507,1868;0,220607
508,1510;0,220929
509,1153;0,22141
510,0795;0,222048
511,0437;0,222799
512,0080;0,223587
512,9722;0,224322
513,9365;0,22494
514,9007;0,225421
515,8649;0,225789
516,8292;0,226076
517,7934;0,226298
518,7576;0,226444
519,7219;0,226509
520,6861;0,226518
521,6503;0,226515
522,6146;0,226533
523,5788;0,226567
524,5430;0,226577
525,5073;0,226519
526,4715;0,226388
527,4357;0,226226
528,4000;0,226082
529,3642;0,225959
530,3284;0,225801
531,2927;0,225528
532,2569;0,225092
533,2211;0,224522
534,1854;0,223922
535,1496;0,223422
536,1138;0,223114
537,0781;0,223013
538,0423;0,223062
539,0065;0,22317
539,9708;0,22326
540,9350;0,223293
541,8992;0,223276
542,8635;0,223248
543,8277;0,22326
544,7919;0,223349
545,7562;0,223532
546,7204;0,223803
547,6846;0,224139
548,6489;0,22452
549,6131;0,224936
550,5773;0,225392
551,5416;0,225911
552,5058;0,226516
553,4700;0,227215
554,4343;0,227981
555,3985;0,228737
556,3627;0,229358
557,3270;0,229702
558,2912;0,229656
559,2554;0,229171
560,2197;0,228288
561,1839;0,227116
562,1481;0,225807
563,1124;0,224513
564,0766;0,223346
565,0408;0,22237
566,0051;0,221592
566,9693;0,220983
567,9335;0,220494
568,8978;0,220077
569,8620;0,219702
570,8262;0,219355
571,7905;0,219031
572,7547;0,218724
573,7189;0,218416
574,6832;0,21809
575,6474;0,217733
576,6116;0,21735
577,5759;0,216964
578,5401;0,216602
579,5043;0,216283
580,4686;0,216009
581,4328;0,215769
582,3970;0,215549
583,3613;0,215339
584,3255;0,215149
585,2897;0,215
586,2540;0,214917
587,2182;0,214917
588,1824;0,215
589,1467;0,215144
590,1109;0,215309
591,0751;0,215447
592,0394;0,21551
593,0036;0,215465
593,9678;0,215298
594,9321;0,215014
595,8963;0,21463
596,8605;0,214172
597,8248;0,213677
598,7890;0,21319
599,7532;0,212755
600,7175;0,212391
601,6817;0,212084
602,6459;0,211786
603,6102;0,211433
604,5744;0,210978
605,5386;0,210403
606,5029;0,209723
607,4671;0,208966
608,4313;0,208154
609,3956;0,207294
610,3598;0,206386
611,3240;0,205438
612,2883;0,204474
613,2525;0,203524
614,2167;0,202608
615,1810;0,201716
616,1452;0,200808
617,1094;0,199835
618,0737;0,198759
619,0379;0,19757
620,0021;0,196283
620,9664;0,194924
621,9306;0,193528
622,8948;0,192139
623,8591;0,190816
624,8233;0,189619
625,7875;0,188577
626,7518;0,187687
627,7160;0,186916
628,6802;0,186216
629,6445;0,185548
630,6087;0,18489
631,5729;0,184233
632,5372;0,183562
633,5014;0,182862
634,4656;0,182119
635,4299;0,181339
636,3941;0,180553
637,3583;0,17981
638,3226;0,179149
639,2868;0,178587
640,2510;0,178101
641,2153;0,177646
642,1795;0,177172
643,1437;0,176651
644,1080;0,17609
645,0722;0,175523
646,0364;0,174985
647,0007;0,174492
647,9649;0,174033
648,9291;0,173587
649,8934;0,173149
650,8576;0,172754
651,8218;0,17246
652,7861;0,172319
