TITLE;
DATA TYPE;INFRARED SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;25/03/17
TIME;10:59:35
SPECTROMETER/DATA SYSTEM;
LOCALE;9226
RESOLUTION;
DELTAX;0,964233
XUNITS;1/CM
YUNITS;ABSORBANCE
FIRSTX;  399,1927
LASTX; 4000,6047
NPOINTS;    3736
FIRSTY;     0,23389
MAXY;     0,24963
MINY;     0,00469
XYDATA
399,1927;0,233887
400,1569;0,229734
401,1211;0,226297
402,0854;0,223982
403,0496;0,222828
404,0138;0,222638
404,9781;0,223014
405,9423;0,223418
406,9065;0,223351
407,8708;0,222572
408,8350;0,221191
409,7992;0,219603
410,7635;0,218311
411,7277;0,217752
412,6919;0,218145
413,6562;0,219465
414,6204;0,221502
415,5846;0,223905
416,5489;0,226134
417,5131;0,227421
418,4773;0,227115
419,4416;0,225445
420,4058;0,223565
421,3700;0,222428
422,3343;0,222127
423,2985;0,222221
424,2627;0,222226
425,2270;0,221893
426,1912;0,221272
427,1554;0,220606
428,1197;0,220112
429,0839;0,219852
430,0481;0,219756
431,0124;0,219736
431,9766;0,219779
432,9408;0,219937
433,9051;0,220236
434,8693;0,220604
435,8335;0,220885
436,7978;0,220947
437,7620;0,220777
438,7262;0,220481
439,6905;0,220201
440,6547;0,22003
441,6189;0,219966
442,5832;0,219938
443,5474;0,219853
444,5116;0,21965
445,4759;0,219308
446,4401;0,218814
447,4043;0,218146
448,3686;0,217291
449,3328;0,216293
450,2970;0,215298
451,2613;0,21454
452,2255;0,214251
453,1897;0,214537
454,1540;0,215292
455,1182;0,216191
456,0824;0,216777
457,0467;0,21665
458,0109;0,215724
458,9751;0,214344
459,9394;0,213069
460,9036;0,2123
461,8678;0,212121
462,8321;0,212373
463,7963;0,212814
464,7605;0,21324
465,7248;0,213552
466,6890;0,213762
467,6532;0,213928
468,6175;0,214079
469,5817;0,214182
470,5459;0,214159
471,5102;0,213955
472,4744;0,213605
473,4386;0,213238
474,4029;0,212999
475,3671;0,212964
476,3313;0,213114
477,2956;0,213374
478,2598;0,21366
479,2240;0,213908
480,1883;0,214077
481,1525;0,214135
482,1167;0,214065
483,0810;0,213888
484,0452;0,21369
485,0094;0,213612
485,9737;0,213792
486,9379;0,214285
487,9021;0,215035
488,8664;0,215909
489,8306;0,216755
490,7948;0,217458
491,7591;0,217966
492,7233;0,218277
493,6875;0,218418
494,6518;0,218432
495,6160;0,218376
496,5802;0,218338
497,5445;0,218411
498,5087;0,218662
499,4729;0,219089
500,4372;0,219622
501,4014;0,220153
502,3656;0,220609
503,3299;0,220986
504,2941;0,221338
505,2583;0,221713
506,2226;0,222113
507,1868;0,222489
508,1510;0,222787
509,1153;0,222987
510,0795;0,223126
511,0437;0,223277
512,0080;0,223526
512,9722;0,223935
513,9365;0,224537
514,9007;0,225314
515,8649;0,226187
516,8292;0,227016
517,7934;0,227646
518,7576;0,227988
519,7219;0,228069
520,6861;0,228012
521,6503;0,227946
522,6146;0,227943
523,5788;0,227994
524,5430;0,228042
525,5073;0,228027
526,4715;0,22793
527,4357;0,227772
528,4000;0,227586
529,3642;0,227384
530,3284;0,227164
531,2927;0,226928
532,2569;0,226692
533,2211;0,226477
534,1854;0,226281
535,1496;0,226064
536,1138;0,225773
537,0781;0,225387
538,0423;0,224944
539,0065;0,224537
539,9708;0,224263
540,9350;0,224176
541,8992;0,22426
542,8635;0,224456
543,8277;0,224697
544,7919;0,224941
545,7562;0,225175
546,7204;0,225396
547,6846;0,2256
548,6489;0,225771
549,6131;0,225892
550,5773;0,225965
551,5416;0,226008
552,5058;0,22605
553,4700;0,226116
554,4343;0,226205
555,3985;0,226281
556,3627;0,226273
557,3270;0,226088
558,2912;0,225648
559,2554;0,224915
560,2197;0,223923
561,1839;0,22277
562,1481;0,221591
563,1124;0,220513
564,0766;0,219608
565,0408;0,218884
566,0051;0,218298
566,9693;0,217789
567,9335;0,217321
568,8978;0,216892
569,8620;0,216538
570,8262;0,216296
571,7905;0,216185
572,7547;0,216183
573,7189;0,216242
574,6832;0,216293
575,6474;0,216278
576,6116;0,216171
577,5759;0,215977
578,5401;0,215726
579,5043;0,215451
580,4686;0,215168
581,4328;0,214882
582,3970;0,214592
583,3613;0,214305
584,3255;0,214041
585,2897;0,213825
586,2540;0,21368
587,2182;0,21362
588,1824;0,213642
589,1467;0,213724
590,1109;0,213826
591,0751;0,213891
592,0394;0,213858
593,0036;0,213683
593,9678;0,213358
594,9321;0,212904
595,8963;0,212357
596,8605;0,211748
597,8248;0,211093
598,7890;0,210408
599,7532;0,209719
600,7175;0,209075
601,6817;0,208531
602,6459;0,208122
603,6102;0,207845
604,5744;0,207651
605,5386;0,207466
606,5029;0,207221
607,4671;0,206871
608,4313;0,206413
609,3956;0,205878
610,3598;0,205327
611,3240;0,204839
612,2883;0,204486
613,2525;0,204291
614,2167;0,204195
615,1810;0,204031
616,1452;0,203566
617,1094;0,202598
618,0737;0,201071
619,0379;0,199119
620,0021;0,196997
620,9664;0,194953
621,9306;0,193134
622,8948;0,191568
623,8591;0,190205
624,8233;0,188912
625,7875;0,187778
626,7518;0,186788
627,7160;0,185929
628,6802;0,185162
629,6445;0,184447
630,6087;0,18375
631,5729;0,183074
632,5372;0,182447
633,5014;0,181903
634,4656;0,181458
635,4299;0,181097
636,3941;0,180785
637,3583;0,180481
638,3226;0,180158
639,2868;0,17981
640,2510;0,179456
641,2153;0,179131
642,1795;0,17887
643,1437;0,178697
644,1080;0,178608
645,0722;0,178571
646,0364;0,178531
647,0007;0,178431
647,9649;0,178237
648,9291;0,177946
649,8934;0,177596
650,8576;0,177251
651,8218;0,176981
652,7861;0,176841
