TITLE;
DATA TYPE;INFRARED SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;25/03/17
TIME;10:57:19
SPECTROMETER/DATA SYSTEM;
LOCALE;9226
RESOLUTION;
DELTAX;0,964233
XUNITS;1/CM
YUNITS;ABSORBANCE
FIRSTX;  399,1927
LASTX; 4000,6047
NPOINTS;    3736
FIRSTY;     0,16823
MAXY;     0,16823
MINY;     0,00051
XYDATA
399,1927;0,168234
400,1569;0,166217
401,1211;0,163415
402,0854;0,160137
403,0496;0,156821
404,0138;0,153928
404,9781;0,151798
405,9423;0,150511
406,9065;0,149841
407,8708;0,149397
408,8350;0,148884
409,7992;0,148277
410,7635;0,147813
411,7277;0,147814
412,6919;0,148485
413,6562;0,149829
414,6204;0,151714
415,5846;0,153932
416,5489;0,156155
417,5131;0,157833
418,4773;0,158322
419,4416;0,157484
420,4058;0,156025
421,3700;0,154809
422,3343;0,154157
423,2985;0,1539
424,2627;0,153722
425,2270;0,153407
426,1912;0,152959
427,1554;0,152557
428,1197;0,152393
429,0839;0,152533
430,0481;0,152896
431,0124;0,153341
431,9766;0,153776
432,9408;0,154201
433,9051;0,154646
434,8693;0,155074
435,8335;0,155341
436,7978;0,155274
437,7620;0,154795
438,7262;0,153978
439,6905;0,153014
440,6547;0,152123
441,6189;0,151468
442,5832;0,151107
443,5474;0,150972
444,5116;0,150895
445,4759;0,150675
446,4401;0,150164
447,4043;0,149313
448,3686;0,148197
449,3328;0,146989
450,2970;0,145911
451,2613;0,145157
452,2255;0,14482
453,1897;0,144869
454,1540;0,145188
455,1182;0,14562
456,0824;0,145997
457,0467;0,146139
458,0109;0,145891
458,9751;0,145205
459,9394;0,144195
460,9036;0,143085
461,8678;0,142106
462,8321;0,141426
463,7963;0,141112
464,7605;0,141124
465,7248;0,141337
466,6890;0,141603
467,6532;0,141827
468,6175;0,141986
469,5817;0,142096
470,5459;0,14216
471,5102;0,14215
472,4744;0,14203
473,4386;0,141807
474,4029;0,141537
475,3671;0,141288
476,3313;0,141108
477,2956;0,141017
478,2598;0,141028
479,2240;0,141156
480,1883;0,141404
481,1525;0,141735
482,1167;0,142065
483,0810;0,142287
484,0452;0,142333
485,0094;0,142222
485,9737;0,142055
486,9379;0,141956
487,9021;0,142006
488,8664;0,142222
489,8306;0,14257
490,7948;0,142987
491,7591;0,143398
492,7233;0,143725
493,6875;0,143914
494,6518;0,143956
495,6160;0,143907
496,5802;0,14387
497,5445;0,143958
498,5087;0,144232
499,4729;0,144676
500,4372;0,145202
501,4014;0,1457
502,3656;0,146098
503,3299;0,146394
504,2941;0,146631
505,2583;0,146834
506,2226;0,146988
507,1868;0,147059
508,1510;0,147046
509,1153;0,147015
510,0795;0,147082
511,0437;0,147352
512,0080;0,147867
512,9722;0,148598
513,9365;0,149463
514,9007;0,150358
515,8649;0,151168
516,8292;0,151766
517,7934;0,152031
518,7576;0,151901
519,7219;0,151419
520,6861;0,150733
521,6503;0,150023
522,6146;0,149434
523,5788;0,149032
524,5430;0,148802
525,5073;0,148671
526,4715;0,148555
527,4357;0,148405
528,4000;0,148213
529,3642;0,147986
530,3284;0,147729
531,2927;0,147436
532,2569;0,14711
533,2211;0,146778
534,1854;0,14648
535,1496;0,146251
536,1138;0,146099
537,0781;0,145999
538,0423;0,145916
539,0065;0,145823
539,9708;0,145721
540,9350;0,145635
541,8992;0,145608
542,8635;0,145687
543,8277;0,145912
544,7919;0,146301
545,7562;0,146839
546,7204;0,147468
547,6846;0,148106
548,6489;0,148667
549,6131;0,149096
550,5773;0,149386
551,5416;0,149573
552,5058;0,149717
553,4700;0,149876
554,4343;0,150071
555,3985;0,150279
556,3627;0,150427
557,3270;0,150422
558,2912;0,150178
559,2554;0,149644
560,2197;0,148826
561,1839;0,147785
562,1481;0,146623
563,1124;0,145457
564,0766;0,144387
565,0408;0,143469
566,0051;0,1427
566,9693;0,142035
567,9335;0,141424
568,8978;0,140844
569,8620;0,14032
570,8262;0,139909
571,7905;0,139661
572,7547;0,139588
573,7189;0,139658
574,6832;0,139807
575,6474;0,139967
576,6116;0,140083
577,5759;0,140119
578,5401;0,140046
579,5043;0,139848
580,4686;0,139528
581,4328;0,13913
582,3970;0,138734
583,3613;0,138428
584,3255;0,138261
585,2897;0,138222
586,2540;0,138244
587,2182;0,138256
588,1824;0,138221
589,1467;0,138154
590,1109;0,138097
591,0751;0,138077
592,0394;0,13807
593,0036;0,138012
593,9678;0,137839
594,9321;0,13753
595,8963;0,137118
596,8605;0,136669
597,8248;0,136245
598,7890;0,135875
599,7532;0,13555
600,7175;0,135246
601,6817;0,134946
602,6459;0,134654
603,6102;0,134388
604,5744;0,134156
605,5386;0,133945
606,5029;0,133711
607,4671;0,133396
608,4313;0,13295
609,3956;0,132363
610,3598;0,13169
611,3240;0,131047
612,2883;0,130575
613,2525;0,130376
614,2167;0,130443
615,1810;0,130618
616,1452;0,130626
617,1094;0,130185
618,0737;0,129158
619,0379;0,127637
620,0021;0,125891
620,9664;0,124226
621,9306;0,122852
622,8948;0,121834
623,8591;0,12111
624,8233;0,120497
625,7875;0,120008
626,7518;0,119576
627,7160;0,119171
628,6802;0,118763
629,6445;0,118326
630,6087;0,117827
631,5729;0,117257
632,5372;0,116636
633,5014;0,11601
634,4656;0,115437
635,4299;0,114965
636,3941;0,11462
637,3583;0,114398
638,3226;0,114265
639,2868;0,11417
640,2510;0,114061
641,2153;0,113902
642,1795;0,113692
643,1437;0,113459
644,1080;0,113247
645,0722;0,113086
646,0364;0,112976
647,0007;0,112883
647,9649;0,112765
648,9291;0,112596
649,8934;0,112389
650,8576;0,112192
651,8218;0,112065
652,7861;0,112054
