TITLE;
DATA TYPE;INFRARED SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;25/03/26
TIME;20:14:08
SPECTROMETER/DATA SYSTEM;
LOCALE;9226
RESOLUTION;
DELTAX;0,964233
XUNITS;1/CM
YUNITS;ABSORBANCE
FIRSTX;  399,1927
LASTX; 4000,6047
NPOINTS;    3736
FIRSTY;     0,20406
MAXY;     0,31774
MINY;     0,01688
XYDATA
399,1927;0,204061
400,1569;0,201927
401,1211;0,201582
402,0854;0,202562
403,0496;0,20421
404,0138;0,205911
404,9781;0,207147
405,9423;0,207575
406,9065;0,207129
407,8708;0,206036
408,8350;0,204722
409,7992;0,203663
410,7635;0,203269
411,7277;0,203774
412,6919;0,205178
413,6562;0,207279
414,6204;0,209776
415,5846;0,212318
416,5489;0,214439
417,5131;0,215528
418,4773;0,215175
419,4416;0,213839
420,4058;0,212731
421,3700;0,21267
422,3343;0,213603
423,2985;0,215018
424,2627;0,216366
425,2270;0,217298
426,1912;0,217763
427,1554;0,217961
428,1197;0,218135
429,0839;0,218381
430,0481;0,218606
431,0124;0,218649
431,9766;0,218443
432,9408;0,218109
433,9051;0,217891
434,8693;0,217987
435,8335;0,218392
436,7978;0,218886
437,7620;0,219173
438,7262;0,219072
439,6905;0,218598
440,6547;0,217935
441,6189;0,217331
442,5832;0,216963
443,5474;0,21684
444,5116;0,216801
445,4759;0,216636
446,4401;0,216231
447,4043;0,215619
448,3686;0,214931
449,3328;0,214302
450,2970;0,213807
451,2613;0,213442
452,2255;0,213162
453,1897;0,212933
454,1540;0,212772
455,1182;0,212738
456,0824;0,2129
457,0467;0,213273
458,0109;0,213765
458,9751;0,214202
459,9394;0,214429
460,9036;0,214392
461,8678;0,214143
462,8321;0,213782
463,7963;0,213406
464,7605;0,213084
465,7248;0,212844
466,6890;0,212683
467,6532;0,212586
468,6175;0,212546
469,5817;0,212548
470,5459;0,212552
471,5102;0,212489
472,4744;0,212311
473,4386;0,212049
474,4029;0,211815
475,3671;0,211725
476,3313;0,211812
477,2956;0,212006
478,2598;0,212181
479,2240;0,21223
480,1883;0,212142
481,1525;0,212015
482,1167;0,211999
483,0810;0,212211
484,0452;0,212667
485,0094;0,213276
485,9737;0,213899
486,9379;0,214425
487,9021;0,214799
488,8664;0,215007
489,8306;0,21506
490,7948;0,214992
491,7591;0,214882
492,7233;0,214849
493,6875;0,215017
494,6518;0,215448
495,6160;0,216107
496,5802;0,216864
497,5445;0,217549
498,5087;0,218017
499,4729;0,218207
500,4372;0,218168
501,4014;0,218049
502,3656;0,218025
503,3299;0,218211
504,2941;0,21861
505,2583;0,219135
506,2226;0,219683
507,1868;0,220186
508,1510;0,220638
509,1153;0,221072
510,0795;0,221535
511,0437;0,222049
512,0080;0,22261
512,9722;0,22319
513,9365;0,223758
514,9007;0,224298
515,8649;0,224821
516,8292;0,225361
517,7934;0,225953
518,7576;0,226595
519,7219;0,227225
520,6861;0,227753
521,6503;0,228096
522,6146;0,228223
523,5788;0,22816
524,5430;0,227988
525,5073;0,227817
526,4715;0,227733
527,4357;0,227756
528,4000;0,227838
529,3642;0,227908
530,3284;0,227912
531,2927;0,227839
532,2569;0,227709
533,2211;0,227557
534,1854;0,227404
535,1496;0,227245
536,1138;0,227059
537,0781;0,22683
538,0423;0,226579
539,0065;0,226361
539,9708;0,226252
540,9350;0,226305
541,8992;0,22652
542,8635;0,226841
543,8277;0,227179
544,7919;0,227459
545,7562;0,227664
546,7204;0,227842
547,6846;0,228084
548,6489;0,228461
549,6131;0,228984
550,5773;0,2296
551,5416;0,230231
552,5058;0,230825
553,4700;0,231384
554,4343;0,231951
555,3985;0,232553
556,3627;0,233155
557,3270;0,23363
558,2912;0,233808
559,2554;0,233542
560,2197;0,232787
561,1839;0,231624
562,1481;0,23022
563,1124;0,228759
564,0766;0,227369
565,0408;0,226095
566,0051;0,224929
566,9693;0,223859
567,9335;0,222907
568,8978;0,222126
569,8620;0,221559
570,8262;0,221203
571,7905;0,221005
572,7547;0,220882
573,7189;0,220763
574,6832;0,220609
575,6474;0,220418
576,6116;0,220211
577,5759;0,220013
578,5401;0,219837
579,5043;0,21968
580,4686;0,219537
581,4328;0,219397
582,3970;0,219257
583,3613;0,219117
584,3255;0,218981
585,2897;0,218854
586,2540;0,218742
587,2182;0,218653
588,1824;0,218595
589,1467;0,218575
590,1109;0,218595
591,0751;0,218636
592,0394;0,218656
593,0036;0,218595
593,9678;0,218396
594,9321;0,218032
595,8963;0,217519
596,8605;0,216914
597,8248;0,216292
598,7890;0,215721
599,7532;0,215241
600,7175;0,214847
601,6817;0,214503
602,6459;0,214158
603,6102;0,213772
604,5744;0,213319
605,5386;0,212793
606,5029;0,212196
607,4671;0,211534
608,4313;0,210814
609,3956;0,21005
610,3598;0,209269
611,3240;0,20851
612,2883;0,207817
613,2525;0,207216
614,2167;0,206693
615,1810;0,206175
616,1452;0,205545
617,1094;0,204683
618,0737;0,203534
619,0379;0,202136
620,0021;0,200604
620,9664;0,199067
621,9306;0,197612
622,8948;0,196279
623,8591;0,195062
624,8233;0,193933
625,7875;0,192896
626,7518;0,191948
627,7160;0,191092
628,6802;0,190321
629,6445;0,189616
630,6087;0,188942
631,5729;0,188262
632,5372;0,187547
633,5014;0,186792
634,4656;0,186017
635,4299;0,185262
636,3941;0,184567
637,3583;0,18396
638,3226;0,18345
639,2868;0,183031
640,2510;0,182686
641,2153;0,182397
642,1795;0,182143
643,1437;0,181894
644,1080;0,181618
645,0722;0,181278
646,0364;0,180854
647,0007;0,180352
647,9649;0,179819
648,9291;0,179331
649,8934;0,178973
650,8576;0,178796
651,8218;0,178799
652,7861;0,178932
