TITLE;
DATA TYPE;INFRARED SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;25/03/19
TIME;17:25:00
SPECTROMETER/DATA SYSTEM;
LOCALE;9226
RESOLUTION;
DELTAX;0,964233
XUNITS;1/CM
YUNITS;ABSORBANCE
FIRSTX;  399,1927
LASTX; 4000,6047
NPOINTS;    3736
FIRSTY;     0,25818
MAXY;     0,34338
MINY;     0,01488
XYDATA
399,1927;0,258179
400,1569;0,254757
401,1211;0,252494
402,0854;0,251187
403,0496;0,250228
404,0138;0,249164
404,9781;0,247932
405,9423;0,246823
406,9065;0,246207
407,8708;0,246238
408,8350;0,246747
409,7992;0,247416
410,7635;0,248044
411,7277;0,248696
412,6919;0,249616
413,6562;0,251002
414,6204;0,252859
415,5846;0,254987
416,5489;0,257008
417,5131;0,258397
418,4773;0,258734
419,4416;0,258186
420,4058;0,257499
421,3700;0,257264
422,3343;0,257546
423,2985;0,258108
424,2627;0,258681
425,2270;0,259089
426,1912;0,259283
427,1554;0,259318
428,1197;0,259268
429,0839;0,259168
430,0481;0,259009
431,0124;0,258787
431,9766;0,25855
432,9408;0,258408
433,9051;0,258487
434,8693;0,258857
435,8335;0,259463
436,7978;0,260134
437,7620;0,260639
438,7262;0,260786
439,6905;0,260478
440,6547;0,259729
441,6189;0,258656
442,5832;0,257446
443,5474;0,256296
444,5116;0,255333
445,4759;0,254578
446,4401;0,253967
447,4043;0,253415
448,3686;0,252861
449,3328;0,252287
450,2970;0,251725
451,2613;0,251245
452,2255;0,250925
453,1897;0,250801
454,1540;0,250823
455,1182;0,250847
456,0824;0,250676
457,0467;0,250164
458,0109;0,24934
458,9751;0,24844
459,9394;0,247756
460,9036;0,247452
461,8678;0,247512
462,8321;0,247799
463,7963;0,248131
464,7605;0,248326
465,7248;0,248244
466,6890;0,247831
467,6532;0,247139
468,6175;0,246324
469,5817;0,245599
470,5459;0,245169
471,5102;0,245129
472,4744;0,245386
473,4386;0,245694
474,4029;0,24581
475,3671;0,245647
476,3313;0,245292
477,2956;0,244924
478,2598;0,244701
479,2240;0,244692
480,1883;0,244867
481,1525;0,245146
482,1167;0,245461
483,0810;0,245803
484,0452;0,24622
485,0094;0,246773
485,9737;0,247478
486,9379;0,248296
487,9021;0,249145
488,8664;0,249934
489,8306;0,250584
490,7948;0,251052
491,7591;0,251347
492,7233;0,251531
493,6875;0,251693
494,6518;0,251908
495,6160;0,252201
496,5802;0,252554
497,5445;0,252926
498,5087;0,253291
499,4729;0,253657
500,4372;0,254066
501,4014;0,254566
502,3656;0,25518
503,3299;0,255887
504,2941;0,256638
505,2583;0,257388
506,2226;0,258116
507,1868;0,25883
508,1510;0,259552
509,1153;0,260307
510,0795;0,261112
511,0437;0,261975
512,0080;0,26288
512,9722;0,263798
513,9365;0,264679
514,9007;0,265474
515,8649;0,266148
516,8292;0,266689
517,7934;0,267115
518,7576;0,267453
519,7219;0,267721
520,6861;0,267925
521,6503;0,268069
522,6146;0,268162
523,5788;0,268221
524,5430;0,268264
525,5073;0,268299
526,4715;0,268314
527,4357;0,268279
528,4000;0,26816
529,3642;0,267928
530,3284;0,267571
531,2927;0,267106
532,2569;0,26659
533,2211;0,266112
534,1854;0,265773
535,1496;0,265636
536,1138;0,265701
537,0781;0,265902
538,0423;0,266144
539,0065;0,266352
539,9708;0,266505
540,9350;0,266637
541,8992;0,266811
542,8635;0,267084
543,8277;0,26748
544,7919;0,267988
545,7562;0,26856
546,7204;0,269144
547,6846;0,269699
548,6489;0,270228
549,6131;0,270774
550,5773;0,271406
551,5416;0,272183
552,5058;0,27311
553,4700;0,274125
554,4343;0,275103
555,3985;0,27589
556,3627;0,276343
557,3270;0,27636
558,2912;0,27589
559,2554;0,274931
560,2197;0,273522
561,1839;0,271751
562,1481;0,269753
563,1124;0,2677
564,0766;0,265755
565,0408;0,264044
566,0051;0,262623
566,9693;0,261485
567,9335;0,260582
568,8978;0,259857
569,8620;0,259267
570,8262;0,258786
571,7905;0,258399
572,7547;0,258091
573,7189;0,257841
574,6832;0,257622
575,6474;0,257412
576,6116;0,257201
577,5759;0,256992
578,5401;0,256798
579,5043;0,256622
580,4686;0,256455
581,4328;0,256275
582,3970;0,256056
583,3613;0,25579
584,3255;0,255495
585,2897;0,255216
586,2540;0,255004
587,2182;0,254887
588,1824;0,254852
589,1467;0,25484
590,1109;0,254769
591,0751;0,254571
592,0394;0,254225
593,0036;0,25377
593,9678;0,253275
594,9321;0,252795
595,8963;0,25234
596,8605;0,251878
597,8248;0,251365
598,7890;0,250777
599,7532;0,250129
600,7175;0,249465
601,6817;0,248833
602,6459;0,24826
603,6102;0,247739
604,5744;0,247235
605,5386;0,246698
606,5029;0,24608
607,4671;0,245354
608,4313;0,244519
609,3956;0,243609
610,3598;0,242686
611,3240;0,241818
612,2883;0,241049
613,2525;0,24038
614,2167;0,239757
615,1810;0,239083
616,1452;0,238239
617,1094;0,23713
618,0737;0,23572
619,0379;0,23405
620,0021;0,232213
620,9664;0,230318
621,9306;0,228461
622,8948;0,226722
623,8591;0,225163
624,8233;0,223828
625,7875;0,222728
626,7518;0,221837
627,7160;0,221094
628,6802;0,220417
629,6445;0,219724
630,6087;0,218951
631,5729;0,218068
632,5372;0,217086
633,5014;0,216051
634,4656;0,21504
635,4299;0,214137
636,3941;0,2134
637,3583;0,212841
638,3226;0,212419
639,2868;0,21205
640,2510;0,211644
641,2153;0,211139
642,1795;0,210526
643,1437;0,209847
644,1080;0,209164
645,0722;0,20853
646,0364;0,207964
647,0007;0,207458
647,9649;0,207001
648,9291;0,206604
649,8934;0,206306
650,8576;0,206156
651,8218;0,206183
652,7861;0,206383
