TITLE;
DATA TYPE;INFRARED SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;25/04/02
TIME;16:46:52
SPECTROMETER/DATA SYSTEM;
LOCALE;9226
RESOLUTION;
DELTAX;0,964233
XUNITS;1/CM
YUNITS;ABSORBANCE
FIRSTX;  399,1927
LASTX; 4000,6047
NPOINTS;    3736
FIRSTY;     0,52734
MAXY;     0,52804
MINY;     0,02513
XYDATA
399,1927;0,527338
400,1569;0,524414
401,1211;0,5228
402,0854;0,522273
403,0496;0,522461
404,0138;0,52313
404,9781;0,524195
405,9423;0,525582
406,9065;0,527041
407,8708;0,528041
408,8350;0,527886
409,7992;0,526088
410,7635;0,522805
411,7277;0,518987
412,6919;0,515918
413,6562;0,514431
414,6204;0,514435
415,5846;0,51493
416,5489;0,514275
417,5131;0,510844
418,4773;0,504487
419,4416;0,497633
420,4058;0,493386
421,3700;0,492619
422,3343;0,49417
423,2985;0,496567
424,2627;0,49888
425,2270;0,50077
426,1912;0,502238
427,1554;0,503329
428,1197;0,503981
429,0839;0,504087
430,0481;0,50368
431,0124;0,503015
431,9766;0,502458
432,9408;0,502251
433,9051;0,502337
434,8693;0,502425
435,8335;0,502238
436,7978;0,501744
437,7620;0,501177
438,7262;0,500852
439,6905;0,500973
440,6547;0,50156
441,6189;0,502491
442,5832;0,503581
443,5474;0,504667
444,5116;0,505661
445,4759;0,506549
446,4401;0,507305
447,4043;0,507819
448,3686;0,507867
449,3328;0,507203
450,2970;0,505723
451,2613;0,503615
452,2255;0,501312
453,1897;0,499248
454,1540;0,497542
455,1182;0,495854
456,0824;0,493524
457,0467;0,490018
458,0109;0,485485
458,9751;0,480872
459,9394;0,477296
460,9036;0,475278
461,8678;0,474597
462,8321;0,474641
463,7963;0,47482
464,7605;0,474837
465,7248;0,474758
466,6890;0,474866
467,6532;0,475389
468,6175;0,476294
469,5817;0,477277
470,5459;0,477938
471,5102;0,478053
472,4744;0,477787
473,4386;0,477643
474,4029;0,478109
475,3671;0,479325
476,3313;0,481016
477,2956;0,482664
478,2598;0,483759
479,2240;0,484012
480,1883;0,483477
481,1525;0,48253
482,1167;0,481711
483,0810;0,481511
484,0452;0,482175
485,0094;0,483604
485,9737;0,485424
486,9379;0,48719
487,9021;0,488583
488,8664;0,489484
489,8306;0,489931
490,7948;0,490035
491,7591;0,489927
492,7233;0,489744
493,6875;0,489641
494,6518;0,489781
495,6160;0,490276
496,5802;0,491107
497,5445;0,492094
498,5087;0,492958
499,4729;0,493467
500,4372;0,493601
501,4014;0,493623
502,3656;0,493952
503,3299;0,494889
504,2941;0,496407
505,2583;0,49817
506,2226;0,499765
507,1868;0,500936
508,1510;0,501714
509,1153;0,502343
510,0795;0,503096
511,0437;0,504089
512,0080;0,50523
512,9722;0,506293
513,9365;0,507029
514,9007;0,507241
515,8649;0,506802
516,8292;0,505653
517,7934;0,503814
518,7576;0,501404
519,7219;0,498617
520,6861;0,495653
521,6503;0,492676
522,6146;0,489829
523,5788;0,487294
524,5430;0,485339
525,5073;0,484256
526,4715;0,484212
527,4357;0,485104
528,4000;0,486561
529,3642;0,4881
530,3284;0,489276
531,2927;0,48977
532,2569;0,489417
533,2211;0,488199
534,1854;0,486213
535,1496;0,483634
536,1138;0,480663
537,0781;0,477513
538,0423;0,474408
539,0065;0,471579
539,9708;0,469241
540,9350;0,467551
541,8992;0,466577
542,8635;0,466281
543,8277;0,466529
544,7919;0,467117
545,7562;0,467824
546,7204;0,468474
547,6846;0,468976
548,6489;0,46934
549,6131;0,46964
550,5773;0,469951
551,5416;0,470311
552,5058;0,470708
553,4700;0,471102
554,4343;0,471451
555,3985;0,471729
556,3627;0,471914
557,3270;0,471972
558,2912;0,47184
559,2554;0,471443
560,2197;0,470705
561,1839;0,469577
562,1481;0,468039
563,1124;0,466102
564,0766;0,463799
565,0408;0,461186
566,0051;0,458353
566,9693;0,455432
567,9335;0,45259
568,8978;0,449983
569,8620;0,447702
570,8262;0,445751
571,7905;0,444062
572,7547;0,442547
573,7189;0,44114
574,6832;0,439813
575,6474;0,438568
576,6116;0,437416
577,5759;0,436356
578,5401;0,435365
579,5043;0,434379
580,4686;0,433296
581,4328;0,431983
582,3970;0,430319
583,3613;0,428248
584,3255;0,425834
585,2897;0,423253
586,2540;0,420727
587,2182;0,418439
588,1824;0,416466
589,1467;0,414774
590,1109;0,413266
591,0751;0,411851
592,0394;0,410487
593,0036;0,409177
593,9678;0,407922
594,9321;0,40669
595,8963;0,405411
596,8605;0,404023
597,8248;0,402515
598,7890;0,400947
599,7532;0,399421
600,7175;0,398031
601,6817;0,396828
602,6459;0,395822
603,6102;0,395018
604,5744;0,394445
605,5386;0,394144
606,5029;0,394132
607,4671;0,394354
608,4313;0,394676
609,3956;0,394929
610,3598;0,394975
611,3240;0,39477
612,2883;0,394368
613,2525;0,393854
614,2167;0,393252
615,1810;0,392449
616,1452;0,391198
617,1094;0,389213
618,0737;0,386325
619,0379;0,382601
620,0021;0,378332
620,9664;0,373913
621,9306;0,369736
622,8948;0,366111
623,8591;0,363243
624,8233;0,361201
625,7875;0,359935
626,7518;0,359293
627,7160;0,359087
628,6802;0,35915
629,6445;0,359364
630,6087;0,359658
631,5729;0,36
632,5372;0,360378
633,5014;0,360795
634,4656;0,36126
635,4299;0,361786
636,3941;0,362383
637,3583;0,363062
638,3226;0,363833
639,2868;0,364697
640,2510;0,365636
641,2153;0,366597
642,1795;0,36749
643,1437;0,368205
644,1080;0,368645
645,0722;0,368736
646,0364;0,368422
647,0007;0,367633
647,9649;0,366278
648,9291;0,364286
649,8934;0,361671
650,8576;0,358591
651,8218;0,355317
652,7861;0,352166
