TITLE;
DATA TYPE;INFRARED SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;25/04/02
TIME;16:31:21
SPECTROMETER/DATA SYSTEM;
LOCALE;9226
RESOLUTION;
DELTAX;0,964233
XUNITS;1/CM
YUNITS;ABSORBANCE
FIRSTX;  399,1927
LASTX; 4000,6047
NPOINTS;    3736
FIRSTY;     0,48632
MAXY;     0,48632
MINY;     0,02105
XYDATA
399,1927;0,486321
400,1569;0,481438
401,1211;0,475893
402,0854;0,470171
403,0496;0,46458
404,0138;0,459658
404,9781;0,456137
405,9423;0,454574
406,9065;0,454942
407,8708;0,45656
408,8350;0,458458
409,7992;0,459888
410,7635;0,460602
411,7277;0,460797
412,6919;0,460819
413,6562;0,460883
414,6204;0,46102
415,5846;0,461178
416,5489;0,461342
417,5131;0,461569
418,4773;0,461908
419,4416;0,462247
420,4058;0,462317
421,3700;0,461914
422,3343;0,461016
423,2985;0,459719
424,2627;0,458181
425,2270;0,456573
426,1912;0,455013
427,1554;0,453493
428,1197;0,451903
429,0839;0,45015
430,0481;0,448308
431,0124;0,446684
431,9766;0,445719
432,9408;0,445762
433,9051;0,446819
434,8693;0,448437
435,8335;0,449814
436,7978;0,450137
437,7620;0,44898
438,7262;0,446495
439,6905;0,443307
440,6547;0,440257
441,6189;0,438094
442,5832;0,437183
443,5474;0,437335
444,5116;0,437906
445,4759;0,438199
446,4401;0,43785
447,4043;0,436924
448,3686;0,435743
449,3328;0,434644
450,2970;0,433824
451,2613;0,433321
452,2255;0,433089
453,1897;0,433094
454,1540;0,433342
455,1182;0,433832
456,0824;0,434469
457,0467;0,435015
458,0109;0,435153
458,9751;0,434665
459,9394;0,433553
460,9036;0,43198
461,8678;0,430141
462,8321;0,428206
463,7963;0,426364
464,7605;0,424849
465,7248;0,423892
466,6890;0,423615
467,6532;0,423952
468,6175;0,424679
469,5817;0,425502
470,5459;0,426156
471,5102;0,426473
472,4744;0,426436
473,4386;0,426168
474,4029;0,425849
475,3671;0,425626
476,3313;0,425563
477,2956;0,425647
478,2598;0,425823
479,2240;0,426027
480,1883;0,426225
481,1525;0,42643
482,1167;0,426695
483,0810;0,427058
484,0452;0,427492
485,0094;0,427908
485,9737;0,428215
486,9379;0,428398
487,9021;0,428548
488,8664;0,428808
489,8306;0,429281
490,7948;0,429947
491,7591;0,430637
492,7233;0,431109
493,6875;0,431189
494,6518;0,430881
495,6160;0,430367
496,5802;0,429911
497,5445;0,429736
498,5087;0,429951
499,4729;0,43053
500,4372;0,431344
501,4014;0,43221
502,3656;0,432965
503,3299;0,433525
504,2941;0,433903
505,2583;0,434196
506,2226;0,434529
507,1868;0,435007
508,1510;0,435657
509,1153;0,436409
510,0795;0,437117
511,0437;0,437629
512,0080;0,437874
512,9722;0,437888
513,9365;0,437783
514,9007;0,437659
515,8649;0,437507
516,8292;0,437167
517,7934;0,436401
518,7576;0,435054
519,7219;0,433188
520,6861;0,431054
521,6503;0,428942
522,6146;0,42706
523,5788;0,425484
524,5430;0,424184
525,5073;0,423064
526,4715;0,422016
527,4357;0,420966
528,4000;0,419885
529,3642;0,418775
530,3284;0,417637
531,2927;0,416462
532,2569;0,415251
533,2211;0,414035
534,1854;0,412899
535,1496;0,411964
536,1138;0,411334
537,0781;0,411029
538,0423;0,410952
539,0065;0,410915
539,9708;0,410726
540,9350;0,410286
541,8992;0,409644
542,8635;0,408964
543,8277;0,408434
544,7919;0,408173
545,7562;0,408184
546,7204;0,408378
547,6846;0,408641
548,6489;0,408902
549,6131;0,409156
550,5773;0,40944
551,5416;0,409788
552,5058;0,410198
553,4700;0,410615
554,4343;0,410937
555,3985;0,411034
556,3627;0,41078
557,3270;0,4101
558,2912;0,408995
559,2554;0,407549
560,2197;0,405902
561,1839;0,404195
562,1481;0,402532
563,1124;0,400955
564,0766;0,399462
565,0408;0,398036
566,0051;0,396672
566,9693;0,395388
567,9335;0,394212
568,8978;0,393162
569,8620;0,392236
570,8262;0,391416
571,7905;0,390683
572,7547;0,390031
573,7189;0,389469
574,6832;0,389009
575,6474;0,388651
576,6116;0,38837
577,5759;0,388115
578,5401;0,387815
579,5043;0,387401
580,4686;0,386814
581,4328;0,386028
582,3970;0,385058
583,3613;0,383964
584,3255;0,382834
585,2897;0,381762
586,2540;0,38082
587,2182;0,380046
588,1824;0,37944
589,1467;0,378958
590,1109;0,378521
591,0751;0,378024
592,0394;0,377368
593,0036;0,376498
593,9678;0,375435
594,9321;0,374264
595,8963;0,373091
596,8605;0,371996
597,8248;0,371004
598,7890;0,370087
599,7532;0,369193
600,7175;0,368274
601,6817;0,367313
602,6459;0,366317
603,6102;0,36531
604,5744;0,364319
605,5386;0,363362
606,5029;0,362439
607,4671;0,361526
608,4313;0,360575
609,3956;0,359535
610,3598;0,358394
611,3240;0,357204
612,2883;0,35607
613,2525;0,355097
614,2167;0,354312
615,1810;0,353621
616,1452;0,352816
617,1094;0,351669
618,0737;0,350054
619,0379;0,348018
620,0021;0,345755
620,9664;0,343492
621,9306;0,341402
622,8948;0,339568
623,8591;0,337998
624,8233;0,336585
625,7875;0,335426
626,7518;0,334461
627,7160;0,333626
628,6802;0,33284
629,6445;0,332042
630,6087;0,331198
631,5729;0,330316
632,5372;0,329427
633,5014;0,328563
634,4656;0,327741
635,4299;0,326962
636,3941;0,326221
637,3583;0,325525
638,3226;0,324895
639,2868;0,324347
640,2510;0,32387
641,2153;0,323426
642,1795;0,322957
643,1437;0,322425
644,1080;0,321827
645,0722;0,321198
646,0364;0,320586
647,0007;0,320021
647,9649;0,319497
648,9291;0,31898
649,8934;0,318437
650,8576;0,317871
651,8218;0,317328
652,7861;0,316882
