TITLE;
DATA TYPE;INFRARED SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;25/04/02
TIME;15:59:51
SPECTROMETER/DATA SYSTEM;
LOCALE;9226
RESOLUTION;
DELTAX;0,964233
XUNITS;1/CM
YUNITS;ABSORBANCE
FIRSTX;  399,1927
LASTX; 4000,6047
NPOINTS;    3736
FIRSTY;     0,41075
MAXY;     0,46871
MINY;     0,01408
XYDATA
399,1927;0,410753
400,1569;0,412112
401,1211;0,41437
402,0854;0,416759
403,0496;0,418656
404,0138;0,419693
404,9781;0,419794
405,9423;0,419185
406,9065;0,418319
407,8708;0,417703
408,8350;0,417731
409,7992;0,418608
410,7635;0,420309
411,7277;0,422571
412,6919;0,424954
413,6562;0,427007
414,6204;0,428403
415,5846;0,428967
416,5489;0,428633
417,5131;0,427505
418,4773;0,426019
419,4416;0,424881
420,4058;0,424528
421,3700;0,424811
422,3343;0,425322
423,2985;0,425722
424,2627;0,425821
425,2270;0,425557
426,1912;0,424992
427,1554;0,424279
428,1197;0,423602
429,0839;0,423101
430,0481;0,422836
431,0124;0,422792
431,9766;0,422908
432,9408;0,423108
433,9051;0,423303
434,8693;0,423375
435,8335;0,42317
436,7978;0,422538
437,7620;0,421424
438,7262;0,419927
439,6905;0,418293
440,6547;0,416837
441,6189;0,415832
442,5832;0,41539
443,5474;0,415394
444,5116;0,415559
445,4759;0,415577
446,4401;0,415249
447,4043;0,414501
448,3686;0,413353
449,3328;0,411912
450,2970;0,410388
451,2613;0,40908
452,2255;0,408281
453,1897;0,408142
454,1540;0,408588
455,1182;0,409335
456,0824;0,410005
457,0467;0,410284
458,0109;0,410097
458,9751;0,409629
459,9394;0,409145
460,9036;0,408783
461,8678;0,408508
462,8321;0,408207
463,7963;0,407793
464,7605;0,407256
465,7248;0,406658
466,6890;0,406102
467,6532;0,405687
468,6175;0,405492
469,5817;0,405565
470,5459;0,405889
471,5102;0,406351
472,4744;0,406744
473,4386;0,406867
474,4029;0,406644
475,3671;0,406156
476,3313;0,405563
477,2956;0,405021
478,2598;0,404637
479,2240;0,404474
480,1883;0,404571
481,1525;0,404955
482,1167;0,405627
483,0810;0,406531
484,0452;0,407544
485,0094;0,408495
485,9737;0,409238
486,9379;0,409707
487,9021;0,409933
488,8664;0,410014
489,8306;0,410076
490,7948;0,410236
491,7591;0,410554
492,7233;0,411002
493,6875;0,411463
494,6518;0,411796
495,6160;0,411912
496,5802;0,41183
497,5445;0,411656
498,5087;0,41153
499,4729;0,411545
500,4372;0,411706
501,4014;0,411935
502,3656;0,412139
503,3299;0,412292
504,2941;0,41247
505,2583;0,412811
506,2226;0,413433
507,1868;0,414359
508,1510;0,415486
509,1153;0,41662
510,0795;0,417568
511,0437;0,418219
512,0080;0,418584
512,9722;0,418751
513,9365;0,418818
514,9007;0,41882
515,8649;0,418711
516,8292;0,418394
517,7934;0,41779
518,7576;0,416907
519,7219;0,415831
520,6861;0,414657
521,6503;0,413435
522,6146;0,412177
523,5788;0,410913
524,5430;0,409727
525,5073;0,408744
526,4715;0,408039
527,4357;0,407548
528,4000;0,407067
529,3642;0,406359
530,3284;0,405284
531,2927;0,40387
532,2569;0,402299
533,2211;0,400827
534,1854;0,39967
535,1496;0,398912
536,1138;0,398493
537,0781;0,398269
538,0423;0,398095
539,0065;0,39789
539,9708;0,397664
540,9350;0,39749
541,8992;0,397452
542,8635;0,397599
543,8277;0,39791
544,7919;0,3983
545,7562;0,398666
546,7204;0,398932
547,6846;0,399092
548,6489;0,399202
549,6131;0,39933
550,5773;0,399524
551,5416;0,399792
552,5058;0,400123
553,4700;0,4005
554,4343;0,400895
555,3985;0,40124
556,3627;0,401401
557,3270;0,401187
558,2912;0,40041
559,2554;0,398971
560,2197;0,396918
561,1839;0,394453
562,1481;0,39187
563,1124;0,389461
564,0766;0,387419
565,0408;0,3858
566,0051;0,384532
566,9693;0,383473
567,9335;0,382484
568,8978;0,381485
569,8620;0,380472
570,8262;0,379485
571,7905;0,378569
572,7547;0,377745
573,7189;0,377014
574,6832;0,37637
575,6474;0,375813
576,6116;0,37534
577,5759;0,374934
578,5401;0,374557
579,5043;0,374155
580,4686;0,373677
581,4328;0,373088
582,3970;0,372374
583,3613;0,371535
584,3255;0,370593
585,2897;0,369592
586,2540;0,368606
587,2182;0,367725
588,1824;0,367024
589,1467;0,36652
590,1109;0,366151
591,0751;0,365787
592,0394;0,365288
593,0036;0,364573
593,9678;0,363667
594,9321;0,36267
595,8963;0,361694
596,8605;0,360802
597,8248;0,359984
598,7890;0,359181
599,7532;0,358327
600,7175;0,357393
601,6817;0,356398
602,6459;0,355397
603,6102;0,354438
604,5744;0,353543
605,5386;0,352694
606,5029;0,351847
607,4671;0,350946
608,4313;0,349949
609,3956;0,34884
610,3598;0,347637
611,3240;0,346386
612,2883;0,345138
613,2525;0,343922
614,2167;0,342718
615,1810;0,34146
616,1452;0,340049
617,1094;0,338412
618,0737;0,336538
619,0379;0,334492
620,0021;0,332375
620,9664;0,330275
621,9306;0,328241
622,8948;0,326298
623,8591;0,324477
624,8233;0,322767
625,7875;0,321342
626,7518;0,32022
627,7160;0,319346
628,6802;0,318592
629,6445;0,317807
630,6087;0,316871
631,5729;0,315744
632,5372;0,314468
633,5014;0,313146
634,4656;0,311891
635,4299;0,310785
636,3941;0,309856
637,3583;0,309082
638,3226;0,308416
639,2868;0,307799
640,2510;0,30718
641,2153;0,306517
642,1795;0,305782
643,1437;0,304966
644,1080;0,304085
645,0722;0,303169
646,0364;0,30226
647,0007;0,301394
647,9649;0,300597
648,9291;0,299888
649,8934;0,299285
650,8576;0,298813
651,8218;0,298505
652,7861;0,29839
