TITLE;
DATA TYPE;INFRARED SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;25/04/02
TIME;15:53:55
SPECTROMETER/DATA SYSTEM;
LOCALE;9226
RESOLUTION;
DELTAX;0,964233
XUNITS;1/CM
YUNITS;ABSORBANCE
FIRSTX;  399,1927
LASTX; 4000,6047
NPOINTS;    3736
FIRSTY;     0,38270
MAXY;     0,41215
MINY;     0,01699
XYDATA
399,1927;0,382699
400,1569;0,380443
401,1211;0,378242
402,0854;0,376793
403,0496;0,376221
404,0138;0,376342
404,9781;0,376869
405,9423;0,377529
406,9065;0,378136
407,8708;0,37858
408,8350;0,378785
409,7992;0,378681
410,7635;0,378269
411,7277;0,377696
412,6919;0,377239
413,6562;0,377179
414,6204;0,377666
415,5846;0,378704
416,5489;0,380187
417,5131;0,381905
418,4773;0,383549
419,4416;0,384815
420,4058;0,38557
421,3700;0,385814
422,3343;0,385515
423,2985;0,384604
424,2627;0,383099
425,2270;0,381229
426,1912;0,379412
427,1554;0,378074
428,1197;0,377439
429,0839;0,377452
430,0481;0,377855
431,0124;0,378325
431,9766;0,378595
432,9408;0,378528
433,9051;0,378123
434,8693;0,377461
435,8335;0,376637
436,7978;0,375708
437,7620;0,374684
438,7262;0,373568
439,6905;0,372411
440,6547;0,371345
441,6189;0,370555
442,5832;0,370183
443,5474;0,370202
444,5116;0,370396
445,4759;0,370472
446,4401;0,370219
447,4043;0,369585
448,3686;0,368644
449,3328;0,367537
450,2970;0,366432
451,2613;0,365519
452,2255;0,364976
453,1897;0,36491
454,1540;0,365283
455,1182;0,365867
456,0824;0,36628
457,0467;0,366132
458,0109;0,365276
458,9751;0,363966
459,9394;0,362695
460,9036;0,361849
461,8678;0,361532
462,8321;0,361623
463,7963;0,361909
464,7605;0,362193
465,7248;0,362355
466,6890;0,36236
467,6532;0,362232
468,6175;0,362001
469,5817;0,361683
470,5459;0,36127
471,5102;0,360751
472,4744;0,360135
473,4386;0,359462
474,4029;0,358798
475,3671;0,358218
476,3313;0,357793
477,2956;0,357585
478,2598;0,357649
479,2240;0,358018
480,1883;0,358679
481,1525;0,359555
482,1167;0,360501
483,0810;0,361322
484,0452;0,361841
485,0094;0,361985
485,9737;0,361826
486,9379;0,361555
487,9021;0,361382
488,8664;0,361466
489,8306;0,36187
490,7948;0,362555
491,7591;0,363401
492,7233;0,364245
493,6875;0,364933
494,6518;0,365379
495,6160;0,365582
496,5802;0,365625
497,5445;0,36562
498,5087;0,365663
499,4729;0,365787
500,4372;0,365951
501,4014;0,366079
502,3656;0,366132
503,3299;0,366155
504,2941;0,366266
505,2583;0,36658
506,2226;0,367144
507,1868;0,367909
508,1510;0,368761
509,1153;0,36959
510,0795;0,370334
511,0437;0,370986
512,0080;0,371553
512,9722;0,372014
513,9365;0,372315
514,9007;0,372387
515,8649;0,372193
516,8292;0,371752
517,7934;0,371133
518,7576;0,370423
519,7219;0,369684
520,6861;0,36895
521,6503;0,368233
522,6146;0,367545
523,5788;0,366889
524,5430;0,366248
525,5073;0,365573
526,4715;0,364806
527,4357;0,36392
528,4000;0,362952
529,3642;0,361986
530,3284;0,361106
531,2927;0,360359
532,2569;0,359735
533,2211;0,359181
534,1854;0,358631
535,1496;0,358041
536,1138;0,357401
537,0781;0,356733
538,0423;0,356081
539,0065;0,355501
539,9708;0,355055
540,9350;0,354792
541,8992;0,354726
542,8635;0,354817
543,8277;0,35498
544,7919;0,355124
545,7562;0,35521
546,7204;0,355281
547,6846;0,355432
548,6489;0,355743
549,6131;0,356217
550,5773;0,356768
551,5416;0,357267
552,5058;0,35762
553,4700;0,3578
554,4343;0,357835
555,3985;0,357745
556,3627;0,357487
557,3270;0,356954
558,2912;0,356022
559,2554;0,354626
560,2197;0,352812
561,1839;0,350735
562,1481;0,348615
563,1124;0,34666
564,0766;0,345001
565,0408;0,343675
566,0051;0,34263
566,9693;0,341767
567,9335;0,340982
568,8978;0,340202
569,8620;0,339395
570,8262;0,338563
571,7905;0,337738
572,7547;0,336969
573,7189;0,336317
574,6832;0,335833
575,6474;0,335527
576,6116;0,335341
577,5759;0,335149
578,5401;0,334818
579,5043;0,33427
580,4686;0,33353
581,4328;0,332713
582,3970;0,331962
583,3613;0,331369
584,3255;0,330928
585,2897;0,330558
586,2540;0,330158
587,2182;0,329669
588,1824;0,329094
589,1467;0,328475
590,1109;0,327857
591,0751;0,327262
592,0394;0,326685
593,0036;0,326111
593,9678;0,325524
594,9321;0,324905
595,8963;0,324226
596,8605;0,323454
597,8248;0,322569
598,7890;0,321587
599,7532;0,320564
600,7175;0,319579
601,6817;0,31869
602,6459;0,31791
603,6102;0,317196
604,5744;0,316478
605,5386;0,315695
606,5029;0,314821
607,4671;0,313866
608,4313;0,312858
609,3956;0,311827
610,3598;0,310791
611,3240;0,309765
612,2883;0,308771
613,2525;0,307828
614,2167;0,306936
615,1810;0,306044
616,1452;0,305047
617,1094;0,30381
618,0737;0,302244
619,0379;0,300353
620,0021;0,298245
620,9664;0,296082
621,9306;0,294018
622,8948;0,292164
623,8591;0,290576
624,8233;0,2892
625,7875;0,288076
626,7518;0,287121
627,7160;0,286252
628,6802;0,285394
629,6445;0,284504
630,6087;0,283564
631,5729;0,282579
632,5372;0,281565
633,5014;0,280542
634,4656;0,279535
635,4299;0,278569
636,3941;0,277667
637,3583;0,27684
638,3226;0,276082
639,2868;0,275376
640,2510;0,274703
641,2153;0,274051
642,1795;0,273414
643,1437;0,272792
644,1080;0,272179
645,0722;0,271557
646,0364;0,270904
647,0007;0,270207
647,9649;0,269479
648,9291;0,268763
649,8934;0,268126
650,8576;0,267628
651,8218;0,267309
652,7861;0,267175
