"species","sample","ind","loc","ring","year","comment"
"MT","1","1","Cap","EW","1954",NA
"MT","1","1","Cap","EW","1956","evtlCrap"
"MT","1","1","Cap","EW","1962",NA
"MT","1","1","Cap","EW","1964",NA
"MT","1","1","Cap","EW","1966",NA
"MT","1","1","Cap","EW","1970",NA
"MT","1","1","Cap","EW","1975",NA
"MT","1","1","Cap","EW","1979",NA
"MT","1","1","Cap","EW","1981",NA
"MT","1","1","Cap","EW","1985",NA
"MT","1","1","Cap","EW","1986",NA
"MT","1","1","Cap","EW","1988",NA
"MT","1","1","Cap","EW","1990",NA
"MT","1","1","Cap","EW","1997",NA
"MT","1","1","Cap","EW","2002",NA
"MT","2","1","Cap","EW","1959",NA
"MT","2","1","Cap","EW","1960",NA
"MT","2","1","Cap","EW","1961",NA
"MT","2","1","Cap","EW","1968",NA
"MT","2","1","Cap","EW","1970",NA
"MT","2","1","Cap","EW","1971",NA
"MT","2","1","Cap","EW","1972",NA
"MT","2","1","Cap","EW","1976",NA
"MT","2","1","Cap","EW","1979",NA
"MT","2","1","Cap","EW","1980",NA
"MT","2","1","Cap","EW","1985",NA
"MT","2","1","Cap","EW","1989",NA
"MT","2","1","Cap","EW","1990",NA
"MT","2","1","Cap","EW","1992",NA
"MT","2","1","Cap","EW","1993",NA
"MT","2","1","Cap","EW","1994",NA
"MT","2","1","Cap","EW","1997",NA
"MT","2","1","Cap","EW","1998",NA
"MT","2","1","Cap","EW","1999",NA
"MT","3","1","Cap","EW","1962",NA
"MT","3","1","Cap","EW","1966",NA
"MT","3","1","Cap","EW","1967",NA
"MT","3","1","Cap","EW","1969",NA
"MT","3","1","Cap","EW","1970",NA
"MT","3","1","Cap","EW","1972",NA
"MT","3","1","Cap","EW","1973",NA
"MT","3","1","Cap","EW","1976",NA
"MT","3","1","Cap","EW","1980",NA
"MT","3","1","Cap","EW","1981",NA
"MT","3","1","Cap","EW","1983",NA
"MT","3","1","Cap","EW","1986",NA
"MT","3","1","Cap","EW","1987",NA
"MT","3","1","Cap","EW","1989",NA
"MT","3","1","Cap","EW","1990",NA
"MT","3","1","Cap","EW","1991",NA
"MT","3","1","Cap","EW","1993",NA
"MT","3","1","Cap","EW","1994",NA
"MT","3","1","Cap","EW","1997",NA
"MT","3","1","Cap","EW","2000",NA
"MT","3","1","Cap","EW","2004",NA
"MT","3","1","Cap","EW","2005",NA
"MT","3","1","Cap","EW","2006",NA
"MT","3","1","Cap","EW","2014",NA
"MT","3","1","Cap","EW","2015",NA
"MT","3","1","Cap","EW","2016",NA
"MT","3","1","Cap","EW","2017",NA
"MT","3","1","Cap","EW","2018",NA
"MT","3","1","Cap","EW","2021",NA
"MT","3","2","Cap","EW","1959",NA
"MT","3","2","Cap","EW","1960",NA
"MT","3","2","Cap","EW","1962",NA
"MT","3","2","Cap","EW","1964",NA
"MT","3","2","Cap","EW","1965",NA
"MT","3","2","Cap","EW","1966",NA
"MT","3","2","Cap","EW","1967",NA
"MT","3","2","Cap","EW","1971","ganzevtlMixed"
"MT","3","2","Cap","EW","1972","ganzevtlMixed"
"MT","3","2","Cap","EW","1979",NA
"MT","3","2","Cap","EW","1981","ganzevtlMixed"
"MT","3","2","Cap","EW","1982",NA
"MT","3","2","Cap","EW","1986","evtlMixed"
"MT","3","2","Cap","EW","1988",NA
"MT","3","2","Cap","EW","1991",NA
"MT","3","2","Cap","EW","1992",NA
"MT","3","2","Cap","EW","1993",NA
"MT","3","2","Cap","EW","1994",NA
"MT","3","2","Cap","EW","1999",NA
"MT","3","2","Cap","EW","2002",NA
"MT","3","2","Cap","EW","2003",NA
"MT","3","2","Cap","EW","2004",NA
"MT","3","2","Cap","EW","2008",NA
"MT","3","2","Cap","EW","2009",NA
