"species","sample","ind","loc","ring","year","comment"
"MT","1","1","Cap","EW",1964,"valid"
"MT","1","1","Cap","EW",1973,"valid"
"MT","1","1","Cap","EW",1974,"valid"
"MT","1","1","Cap","EW",1975,"valid"
"MT","1","1","Cap","EW",1976,"valid"
"MT","1","1","Cap","EW",1987,"valid"
"MT","1","1","Cap","EW",1989,"valid"
"MT","1","1","Cap","EW",1990,"valid"
"MT","1","1","Cap","EW",1996,"valid"
"MT","1","1","Cap","EW",1997,"valid"
"MT","2","1","Cap","EW",1965,"valid"
"MT","2","1","Cap","EW",1967,"valid"
"MT","2","1","Cap","EW",1968,"valid"
"MT","2","1","Cap","EW",1969,"valid"
"MT","2","1","Cap","EW",1970,"valid"
"MT","2","1","Cap","EW",1971,"valid"
"MT","2","1","Cap","EW",1972,"valid"
"MT","2","1","Cap","EW",1976,"valid"
"MT","2","1","Cap","EW",1978,"valid"
"MT","2","1","Cap","EW",1980,"valid"
"MT","2","1","Cap","EW",1984,"valid"
"MT","2","1","Cap","EW",1986,"valid"
"MT","2","1","Cap","EW",1987,"valid"
"MT","2","1","Cap","EW",1988,"valid"
"MT","2","1","Cap","EW",1989,"valid"
"MT","2","1","Cap","EW",1991,"valid"
"MT","2","1","Cap","EW",1992,"valid"
"MT","2","1","Cap","EW",1996,"valid"
"MT","2","1","Cap","EW",1997,"valid"
"MT","2","1","Cap","EW",1999,"valid"
"MT","3","1","Cap","EW",1967,"valid"
"MT","3","1","Cap","EW",1968,"valid"
"MT","3","1","Cap","EW",1970,"valid"
"MT","3","1","Cap","EW",1971,"valid"
"MT","3","1","Cap","EW",1973,"valid"
"MT","3","1","Cap","EW",1974,"valid"
"MT","3","1","Cap","EW",1975,"valid"
"MT","3","1","Cap","EW",1976,"valid"
"MT","3","1","Cap","EW",1978,"valid"
"MT","3","1","Cap","EW",1980,"valid"
"MT","3","1","Cap","EW",1981,"valid"
"MT","3","1","Cap","EW",1985,"valid"
"MT","3","1","Cap","EW",1986,"valid"
"MT","3","1","Cap","EW",1988,"valid"
"MT","3","1","Cap","EW",1989,"valid"
"MT","3","1","Cap","EW",1990,"valid"
"MT","3","1","Cap","EW",1992,"valid"
"MT","3","1","Cap","EW",1999,"valid"
"MT","3","1","Cap","EW",2000,"valid"
"MT","3","1","Cap","EW",2001,"valid"
"MT","3","1","Cap","EW",2004,"valid"
"MT","3","1","Cap","EW",2005,"valid"
"MT","3","1","Cap","EW",2006,"valid"
"MT","3","1","Cap","EW",2007,"valid"
"MT","3","1","Cap","EW",2008,"valid"
"MT","3","1","Cap","EW",2009,"valid"
"MT","3","1","Cap","EW",2010,"valid"
"MT","3","1","Cap","EW",2014,"valid"
"MT","3","1","Cap","EW",2016,"valid"
"MT","3","1","Cap","EW",2017,"valid"
"MT","3","2","Cap","EW",1966,"valid"
"MT","3","2","Cap","EW",1967,"valid"
"MT","3","2","Cap","EW",1974,"valid"
"MT","3","2","Cap","EW",1979,"valid"
"MT","3","2","Cap","EW",1982,"valid"
"MT","3","2","Cap","EW",1984,"valid"
"MT","3","2","Cap","EW",1988,"valid"
"MT","3","2","Cap","EW",1990,"valid"
"MT","3","2","Cap","EW",1991,"valid"
"MT","3","2","Cap","EW",1993,"valid"
"MT","3","2","Cap","EW",1995,"valid"
"MT","3","2","Cap","EW",1997,"valid"
"MT","3","2","Cap","EW",1999,"valid"
"MT","3","2","Cap","EW",2002,"valid"
"MT","3","2","Cap","EW",2005,"valid"
"MT","3","2","Cap","EW",2010,"valid"
"MT","3","2","Cap","EW",2012,"valid"
"MT","3","2","Cap","EW",2013,"valid"
"MT","3","2","Cap","EW",2014,"valid"
"MT","3","2","Cap","EW",2015,"valid"
"MT","3","2","Cap","EW",2017,"valid"
"MT","3","2","Cap","EW",2019,"valid"
"MT","3","2","Cap","EW",2020,"valid"
"MT","3","2","Cap","EW",2021,"valid"
"MT","3","2","Cap","EW",2022,"valid"
"MT","1","1","Cap","LW",1954,"evtlMixed"
"MT","1","1","Cap","LW",1964,"evtlMixed"
"MT","1","1","Cap","LW",1973,"valid"
