"species","sample","ind","loc","ring","year","comment","first_year","growth_years"
"BS","1","1","Ump","EW","1947",NA,1946,1
"BS","1","1","Ump","EW","1953",NA,1946,7
"BS","1","1","Ump","EW","1959",NA,1946,13
"BS","1","1","Ump","EW","1964",NA,1946,18
"BS","1","1","Ump","EW","1971",NA,1946,25
"BS","1","1","Ump","EW","1977",NA,1946,31
"BS","1","1","Ump","EW","1981",NA,1946,35
"BS","1","1","Ump","EW","1982",NA,1946,36
"BS","1","1","Ump","EW","1983",NA,1946,37
"BS","1","1","Ump","EW","1988",NA,1946,42
"BS","1","1","Ump","EW","1991",NA,1946,45
"BS","1","1","Ump","EW","2018",NA,1946,72
"BS","1","1","Ump","EW","2021",NA,1946,75
"BS","1","1","Ump","LW","1951","evtlMixed",1946,5
"BS","1","1","Ump","LW","1955","evtlMixed",1946,9
"BS","1","1","Ump","LW","1969",NA,1946,23
"BS","1","1","Ump","LW","1972","evtlMixed",1946,26
"BS","1","1","Ump","LW","1986","evtlMixed",1946,40
"BS","1","1","Ump","LW","1989",NA,1946,43
"BS","1","1","Ump","LW","1990","evtlMixed",1946,44
"BS","1","1","Ump","LW","1991",NA,1946,45
"BS","1","1","Ump","LW","1994","evtlMixed",1946,48
"BS","1","1","Ump","LW","1996","evtlMixed",1946,50
"BS","1","1","Ump","LW","2018",NA,1946,72
"BS","1","1","Ump","LW","2021",NA,1946,75
"BS","1","2","Ump","EW","1958",NA,1956,2
"BS","1","2","Ump","EW","1961",NA,1956,5
"BS","1","2","Ump","EW","1962","evtlMixed",1956,6
"BS","1","2","Ump","EW","1971",NA,1956,15
"BS","1","2","Ump","EW","1973",NA,1956,17
"BS","1","2","Ump","EW","1976",NA,1956,20
"BS","1","2","Ump","EW","1978",NA,1956,22
"BS","1","2","Ump","EW","1980",NA,1956,24
"BS","1","2","Ump","EW","1980","2",1956,24
"BS","1","2","Ump","EW","1990",NA,1956,34
"BS","1","2","Ump","EW","2003",NA,1956,47
"BS","1","2","Ump","EW","2004",NA,1956,48
"BS","1","2","Ump","EW","2006",NA,1956,50
"BS","1","2","Ump","EW","2015",NA,1956,59
"BS","1","2","Ump","EW","2017",NA,1956,61
"BS","1","2","Ump","EW","2021",NA,1956,65
"BS","1","2","Ump","LW","1957",NA,1956,1
"BS","1","2","Ump","LW","1967",NA,1956,11
"BS","1","2","Ump","LW","1970","evtlMixed",1956,14
"BS","1","2","Ump","LW","1984","evtlMixed",1956,28
"BS","1","2","Ump","LW","1998",NA,1956,42
"BS","1","2","Ump","LW","1999",NA,1956,43
"BS","1","2","Ump","LW","2002","evtlMixed",1956,46
"BS","1","2","Ump","LW","2007",NA,1956,51
"BS","1","2","Ump","LW","2008",NA,1956,52
"BS","1","2","Ump","LW","2010",NA,1956,54
"BS","1","2","Ump","LW","2016",NA,1956,60
"BS","1","2","Ump","LW","2019","evtlMixed",1956,63
"BS","2","2","Ump","EW","1960",NA,1958,2
"BS","2","2","Ump","EW","1964",NA,1958,6
"BS","2","2","Ump","EW","1965",NA,1958,7
"BS","2","2","Ump","EW","1972",NA,1958,14
"BS","2","2","Ump","EW","1976",NA,1958,18
"BS","2","2","Ump","EW","1980",NA,1958,22
"BS","2","2","Ump","EW","1984",NA,1958,26
"BS","2","2","Ump","EW","1985",NA,1958,27
"BS","2","2","Ump","EW","1986",NA,1958,28
"BS","2","2","Ump","EW","1987",NA,1958,29
"BS","2","2","Ump","EW","1988",NA,1958,30
"BS","2","2","Ump","EW","1989",NA,1958,31
"BS","2","2","Ump","EW","1990","evtlMixed",1958,32
"BS","2","2","Ump","EW","1991",NA,1958,33
"BS","2","2","Ump","EW","1995",NA,1958,37
"BS","2","2","Ump","EW","1998",NA,1958,40
"BS","2","2","Ump","EW","2001",NA,1958,43
"BS","2","2","Ump","EW","2002",NA,1958,44
"BS","2","2","Ump","EW","2004",NA,1958,46
"BS","2","2","Ump","EW","2009","evtlMixed",1958,51
"BS","2","2","Ump","EW","2010",NA,1958,52
"BS","2","2","Ump","EW","2015",NA,1958,57
"BS","2","2","Ump","EW","2016",NA,1958,58
"BS","2","2","Ump","EW","2020",NA,1958,62
"BS","2","2","Ump","LW","1989","ganzevtlMixed",1958,31
"BS","3","1","Ump","EW","1952",NA,1935,17
"BS","3","1","Ump","EW","1984",NA,1935,49
"BS","3","1","Ump","EW","2018",NA,1935,83
"BS","3","1","Ump","LW","1948",NA,1935,13
"BS","3","1","Ump","LW","1972",NA,1935,37
"BS","3","1","Ump","LW","1997","sehrDeutlich",1935,62
"BS","3","3","Ump","EW","1929",NA,1905,24
"BS","3","3","Ump","EW","1968",NA,1905,63
"BS","3","3","Ump","EW","1987",NA,1905,82
"BS","3","3","Ump","LW","1935",NA,1905,30
"BS","3","3","Ump","LW","1978",NA,1905,73
"BS","3","3","Ump","LW","1999",NA,1905,94
"BS","4","3","Ump","EW","1984",NA,1978,6
"BS","4","3","Ump","EW","1986",NA,1978,8
"BS","4","3","Ump","EW","1986","2",1978,8
"BS","4","3","Ump","EW","1987",NA,1978,9
"BS","4","3","Ump","EW","1988",NA,1978,10
"BS","4","3","Ump","EW","1989",NA,1978,11
"BS","4","3","Ump","EW","1991",NA,1978,13
"BS","4","3","Ump","EW","1995",NA,1978,17
"BS","4","3","Ump","EW","1997",NA,1978,19
"BS","4","3","Ump","EW","1998",NA,1978,20
"BS","4","3","Ump","EW","2000",NA,1978,22
"BS","4","3","Ump","EW","2001",NA,1978,23
"BS","4","3","Ump","EW","2005",NA,1978,27
"BS","4","3","Ump","EW","2013",NA,1978,35
"BS","4","3","Ump","EW","2014",NA,1978,36
"BS","4","3","Ump","EW","2014","2",1978,36
"BS","4","3","Ump","EW","2015",NA,1978,37
"BS","4","3","Ump","EW","2019",NA,1978,41
"BS","4","3","Ump","EW","2021",NA,1978,43
"BS","4","3","Ump","EW","2023",NA,1978,45
"BS","4","3","Ump","LW","1992","evtlMixed",1978,14
"BS","4","3","Ump","LW","1996","evtlMixed",1978,18
"BS","4","3","Ump","LW","1997","evtlMixed",1978,19
"BS","4","3","Ump","LW","1999",NA,1978,21
"BS","4","3","Ump","LW","2001","evtlMixed",1978,23
"BS","4","3","Ump","LW","2004",NA,1978,26
"BS","4","3","Ump","LW","2008",NA,1978,30
"BS","4","3","Ump","LW","2014",NA,1978,36
"BS","4","4","Ump","EW","1959",NA,1958,1
"BS","4","4","Ump","EW","1962",NA,1958,4
"BS","4","4","Ump","EW","1963",NA,1958,5
"BS","4","4","Ump","EW","1966",NA,1958,8
"BS","4","4","Ump","EW","1975",NA,1958,17
"BS","4","4","Ump","EW","1977",NA,1958,19
"BS","4","4","Ump","EW","1979",NA,1958,21
"BS","4","4","Ump","EW","1984",NA,1958,26
"BS","4","4","Ump","EW","1988",NA,1958,30
"BS","4","4","Ump","EW","1991",NA,1958,33
"BS","4","4","Ump","EW","2005",NA,1958,47
"BS","4","4","Ump","EW","2007",NA,1958,49
"BS","4","4","Ump","EW","2008",NA,1958,50
"BS","4","4","Ump","EW","2010",NA,1958,52
"BS","4","4","Ump","EW","2017","evtlMixed",1958,59
"BS","4","4","Ump","EW","2018",NA,1958,60
"BS","4","4","Ump","EW","2020",NA,1958,62
"BS","4","4","Ump","LW","1983",NA,1958,25
"BS","4","4","Ump","LW","2010","evtlMixed",1958,52
"BS","4","4","Ump","LW","2013",NA,1958,55
"BS","4","4","Ump","LW","2017",NA,1958,59
"BS","5","1","Ump","EW","1971","heartwoodevtlMixed",1969,2
"BS","5","1","Ump","EW","1978",NA,1969,9
"BS","5","1","Ump","EW","1980",NA,1969,11
"BS","5","1","Ump","EW","2006","evtlMixed",1969,37
"BS","5","1","Ump","LW","2009",NA,1969,40
"BS","6","1","Ump","EW","1937","heartwoodMixed",1933,4
"BS","6","1","Ump","EW","1980",NA,1933,47
"BS","6","1","Ump","EW","1988",NA,1933,55
"BS","6","1","Ump","EW","1990",NA,1933,57
"BS","6","1","Ump","EW","1993",NA,1933,60
"BS","6","1","Ump","EW","1994",NA,1933,61
"BS","6","1","Ump","EW","1996",NA,1933,63
"BS","6","1","Ump","EW","2006",NA,1933,73
"BS","6","1","Ump","EW","2008",NA,1933,75
"BS","6","1","Ump","EW","2020",NA,1933,87
"BS","6","1","Ump","EW","2022",NA,1933,89
"BS","6","1","Ump","LW","1991","evtlMixed",1933,58
"BS","6","1","Ump","LW","2000",NA,1933,67
"BS","6","1","Ump","LW","2003",NA,1933,70
"BS","6","2","Ump","EW","1970",NA,1960,10
"BS","6","2","Ump","EW","1973",NA,1960,13
"BS","6","2","Ump","EW","1974",NA,1960,14
"BS","6","2","Ump","EW","1977",NA,1960,17
"BS","6","2","Ump","EW","1979",NA,1960,19
"BS","6","2","Ump","EW","1983",NA,1960,23
"BS","6","2","Ump","EW","1986",NA,1960,26
"BS","6","2","Ump","EW","1987",NA,1960,27
"BS","6","2","Ump","EW","1989",NA,1960,29
"BS","6","2","Ump","EW","1990",NA,1960,30
"BS","6","2","Ump","EW","1992",NA,1960,32
"BS","6","2","Ump","EW","1994",NA,1960,34
"BS","6","2","Ump","EW","1999",NA,1960,39
"BS","6","2","Ump","EW","2000",NA,1960,40
"BS","6","2","Ump","EW","2001",NA,1960,41
"BS","6","2","Ump","EW","2008",NA,1960,48
"BS","6","2","Ump","EW","2010",NA,1960,50
"BS","6","2","Ump","EW","2011",NA,1960,51
"BS","6","2","Ump","EW","2016",NA,1960,56
"BS","6","2","Ump","EW","2019",NA,1960,59
"BS","6","2","Ump","LW","1969","evtlMixed",1960,9
"BS","6","2","Ump","LW","1970",NA,1960,10
"BS","6","2","Ump","LW","1972",NA,1960,12
"BS","6","2","Ump","LW","1977","evtlMixed",1960,17
"BS","6","2","Ump","LW","1982","evtlMixed",1960,22
"BS","6","2","Ump","LW","1985","evtlMixed",1960,25
"BS","6","2","Ump","LW","1986","evtlMixed",1960,26
"BS","6","2","Ump","LW","1989","evtlMixed",1960,29
"BS","6","2","Ump","LW","1998","evtlMixed",1960,38
"BS","6","2","Ump","LW","1999",NA,1960,39
"BS","6","2","Ump","LW","2000",NA,1960,40
"BS","6","2","Ump","LW","2001",NA,1960,41
"BS","6","2","Ump","LW","2006",NA,1960,46
"BS","6","2","Ump","LW","2008",NA,1960,48
"BS","6","2","Ump","LW","2010",NA,1960,50
"BS","6","2","Ump","LW","2015","evtlMixed",1960,55
"BS","6","3","Ump","EW","1961",NA,1957,4
"BS","6","3","Ump","EW","1967","Mixed",1957,10
"BS","6","3","Ump","EW","1968",NA,1957,11
"BS","6","3","Ump","EW","1970","evtlMixed",1957,13
"BS","6","3","Ump","EW","1972",NA,1957,15
"BS","6","3","Ump","EW","1975","ganzevtlMixed",1957,18
"BS","6","3","Ump","EW","1977","ganzevtlMixed",1957,20
"BS","6","3","Ump","EW","1981","ganzevtlMixed",1957,24
"BS","6","3","Ump","EW","1985","evtlMixed",1957,28
"BS","6","3","Ump","EW","1989","evtlMixed",1957,32
"BS","6","3","Ump","EW","1990","evtlMixed",1957,33
"BS","6","3","Ump","EW","1991","Mixed",1957,34
"BS","6","3","Ump","EW","1992",NA,1957,35
"BS","6","3","Ump","EW","1996",NA,1957,39
"BS","6","3","Ump","EW","1997","Mixed",1957,40
"BS","6","3","Ump","EW","1998","ganzevtlMixed",1957,41
"BS","6","3","Ump","EW","2000","ganzevtlMixed",1957,43
"BS","6","3","Ump","EW","2001",NA,1957,44
"BS","6","3","Ump","EW","2003","Mixed",1957,46
"BS","6","3","Ump","EW","2006","ganzevtlMixed",1957,49
"BS","6","3","Ump","EW","2008",NA,1957,51
"BS","6","3","Ump","EW","2010","ganzevtlMixed",1957,53
"BS","6","3","Ump","EW","2012",NA,1957,55
"BS","6","3","Ump","EW","2013",NA,1957,56
"BS","6","3","Ump","EW","2014","Mixed",1957,57
"BS","6","3","Ump","EW","2019",NA,1957,62
"BS","6","3","Ump","EW","2022","Mixed",1957,65
"BS","6","3","Ump","LW","1970",NA,1957,13
"BS","6","3","Ump","LW","2011","evtlMixed",1957,54
"BS","7","1","Ump","EW","1936","Mixed",1930,6
"BS","7","1","Ump","EW","1941","Mixed",1930,11
"BS","7","1","Ump","EW","1944","Mixed",1930,14
"BS","7","1","Ump","EW","1946","Mixed",1930,16
"BS","7","1","Ump","EW","1950","evtlMixed",1930,20
"BS","7","1","Ump","EW","1952",NA,1930,22
"BS","7","1","Ump","EW","1954",NA,1930,24
"BS","7","1","Ump","EW","1955","evtlMixed",1930,25
"BS","7","1","Ump","EW","1956","Mixed",1930,26
"BS","7","1","Ump","EW","1960","evtlMixed",1930,30
"BS","7","1","Ump","EW","1961",NA,1930,31
"BS","7","1","Ump","EW","1962","ganzevtlMixed",1930,32
"BS","7","1","Ump","EW","1963",NA,1930,33
"BS","7","1","Ump","EW","1965",NA,1930,35
