"species","sample","ind","loc","ring","year","comment","first_year","growth_years"
"MT","1","1","Cap","EW",1954,"valid",1954,0
"MT","1","1","Cap","EW",1964,"valid",1954,10
"MT","1","1","Cap","EW",1973,"valid",1954,19
"MT","1","1","Cap","EW",1974,"valid",1954,20
"MT","1","1","Cap","EW",1975,"valid",1954,21
"MT","1","1","Cap","EW",1986,"valid",1954,32
"MT","1","1","Cap","EW",1988,"valid",1954,34
"MT","1","1","Cap","EW",1989,"valid",1954,35
"MT","1","1","Cap","EW",1990,"valid",1954,36
"MT","1","1","Cap","EW",1996,"valid",1954,42
"MT","1","1","Cap","EW",2002,"valid",1954,48
"MT","2","1","Cap","EW",1960,"valid",1959,1
"MT","2","1","Cap","EW",1963,"valid",1959,4
"MT","2","1","Cap","EW",1964,"valid",1959,5
"MT","2","1","Cap","EW",1965,"valid",1959,6
"MT","2","1","Cap","EW",1966,"valid",1959,7
"MT","2","1","Cap","EW",1967,"valid",1959,8
"MT","2","1","Cap","EW",1976,"valid",1959,17
"MT","2","1","Cap","EW",1979,"valid",1959,20
"MT","2","1","Cap","EW",1980,"valid",1959,21
"MT","2","1","Cap","EW",1981,"valid",1959,22
"MT","2","1","Cap","EW",1983,"valid",1959,24
"MT","2","1","Cap","EW",1985,"valid",1959,26
"MT","2","1","Cap","EW",1986,"valid",1959,27
"MT","2","1","Cap","EW",1990,"valid",1959,31
"MT","2","1","Cap","EW",1993,"valid",1959,34
"MT","2","1","Cap","EW",1994,"valid",1959,35
"MT","2","1","Cap","EW",1995,"valid",1959,36
"MT","2","1","Cap","EW",1997,"valid",1959,38
"MT","2","1","Cap","EW",1998,"valid",1959,39
"MT","2","1","Cap","EW",1999,"valid",1959,40
"MT","3","1","Cap","EW",1963,"valid",1961,2
"MT","3","1","Cap","EW",1965,"valid",1961,4
"MT","3","1","Cap","EW",1967,"valid",1961,6
"MT","3","1","Cap","EW",1971,"valid",1961,10
"MT","3","1","Cap","EW",1972,"valid",1961,11
"MT","3","1","Cap","EW",1974,"valid",1961,13
"MT","3","1","Cap","EW",1975,"valid",1961,14
"MT","3","1","Cap","EW",1976,"valid",1961,15
"MT","3","1","Cap","EW",1978,"valid",1961,17
"MT","3","1","Cap","EW",1979,"valid",1961,18
"MT","3","1","Cap","EW",1986,"valid",1961,25
"MT","3","1","Cap","EW",1987,"valid",1961,26
"MT","3","1","Cap","EW",1988,"valid",1961,27
"MT","3","1","Cap","EW",1991,"valid",1961,30
"MT","3","1","Cap","EW",1992,"valid",1961,31
"MT","3","1","Cap","EW",1994,"valid",1961,33
"MT","3","1","Cap","EW",1995,"valid",1961,34
"MT","3","1","Cap","EW",1997,"valid",1961,36
"MT","3","1","Cap","EW",2000,"valid",1961,39
"MT","3","1","Cap","EW",2002,"valid",1961,41
"MT","3","1","Cap","EW",2005,"valid",1961,44
"MT","3","1","Cap","EW",2007,"valid",1961,46
"MT","3","1","Cap","EW",2011,"valid",1961,50
"MT","3","1","Cap","EW",2013,"valid",1961,52
"MT","3","1","Cap","EW",2014,"valid",1961,53
"MT","3","1","Cap","EW",2015,"valid",1961,54
"MT","3","1","Cap","EW",2020,"valid",1961,59
