"species","sample","ind","loc","ring","year","comment","first_year","growth_years"
"MT","1","1","Cap","EW",1954,NA,1954,0
"MT","1","1","Cap","EW",1956,"Mixed",1954,2
"MT","1","1","Cap","EW",1964,NA,1954,10
"MT","1","1","Cap","EW",1973,NA,1954,19
"MT","1","1","Cap","EW",1974,NA,1954,20
"MT","1","1","Cap","EW",1975,NA,1954,21
"MT","1","1","Cap","EW",1976,NA,1954,22
"MT","1","1","Cap","EW",1979,NA,1954,25
"MT","1","1","Cap","EW",1981,NA,1954,27
"MT","1","1","Cap","EW",1985,NA,1954,31
"MT","1","1","Cap","EW",1986,NA,1954,32
"MT","1","1","Cap","EW",1987,NA,1954,33
"MT","1","1","Cap","EW",1988,NA,1954,34
"MT","1","1","Cap","EW",1989,NA,1954,35
"MT","1","1","Cap","EW",1990,NA,1954,36
"MT","1","1","Cap","EW",1996,NA,1954,42
"MT","1","1","Cap","EW",1997,NA,1954,43
"MT","1","1","Cap","EW",2002,NA,1954,48
"MT","1","1","Cap","LW",1954,"evtlMixed",1954,0
"MT","1","1","Cap","LW",1956,"Mixed",1954,2
"MT","1","1","Cap","LW",1964,"evtlMixed",1954,10
"MT","1","1","Cap","LW",1973,NA,1954,19
"MT","1","1","Cap","LW",1974,NA,1954,20
"MT","1","1","Cap","LW",1975,NA,1954,21
"MT","1","1","Cap","LW",1976,NA,1954,22
"MT","1","1","Cap","LW",1979,NA,1954,25
"MT","1","1","Cap","LW",1981,NA,1954,27
"MT","1","1","Cap","LW",1985,NA,1954,31
"MT","1","1","Cap","LW",1986,NA,1954,32
"MT","1","1","Cap","LW",1987,NA,1954,33
"MT","1","1","Cap","LW",1988,"notClear",1954,34
"MT","1","1","Cap","LW",1989,NA,1954,35
"MT","1","1","Cap","LW",1990,"rechtDeutlich",1954,36
"MT","1","1","Cap","LW",1996,NA,1954,42
"MT","1","1","Cap","LW",1997,"notClear",1954,43
"MT","1","1","Cap","LW",2002,NA,1954,48
"MT","2","1","Cap","EW",1959,NA,1959,0
"MT","2","1","Cap","EW",1960,NA,1959,1
"MT","2","1","Cap","EW",1961,NA,1959,2
"MT","2","1","Cap","EW",1963,NA,1959,4
"MT","2","1","Cap","EW",1964,NA,1959,5
"MT","2","1","Cap","EW",1965,NA,1959,6
"MT","2","1","Cap","EW",1966,NA,1959,7
"MT","2","1","Cap","EW",1967,NA,1959,8
"MT","2","1","Cap","EW",1968,NA,1959,9
"MT","2","1","Cap","EW",1969,NA,1959,10
"MT","2","1","Cap","EW",1970,NA,1959,11
"MT","2","1","Cap","EW",1971,NA,1959,12
"MT","2","1","Cap","EW",1972,NA,1959,13
"MT","2","1","Cap","EW",1976,NA,1959,17
"MT","2","1","Cap","EW",1978,NA,1959,19
"MT","2","1","Cap","EW",1979,NA,1959,20
"MT","2","1","Cap","EW",1980,NA,1959,21
"MT","2","1","Cap","EW",1981,NA,1959,22
"MT","2","1","Cap","EW",1983,NA,1959,24
"MT","2","1","Cap","EW",1984,NA,1959,25
"MT","2","1","Cap","EW",1985,NA,1959,26
"MT","2","1","Cap","EW",1986,NA,1959,27
"MT","2","1","Cap","EW",1987,NA,1959,28
"MT","2","1","Cap","EW",1988,NA,1959,29
"MT","2","1","Cap","EW",1989,NA,1959,30
"MT","2","1","Cap","EW",1990,NA,1959,31
"MT","2","1","Cap","EW",1991,NA,1959,32
"MT","2","1","Cap","EW",1992,NA,1959,33
"MT","2","1","Cap","EW",1993,NA,1959,34
"MT","2","1","Cap","EW",1994,NA,1959,35
"MT","2","1","Cap","EW",1995,NA,1959,36
"MT","2","1","Cap","EW",1996,NA,1959,37
"MT","2","1","Cap","EW",1997,NA,1959,38
"MT","2","1","Cap","EW",1998,NA,1959,39
"MT","2","1","Cap","EW",1999,NA,1959,40
"MT","2","1","Cap","LW",1965,NA,1959,6
"MT","2","1","Cap","LW",1966,NA,1959,7
"MT","2","1","Cap","LW",1967,NA,1959,8
"MT","2","1","Cap","LW",1969,NA,1959,10
"MT","2","1","Cap","LW",1975,NA,1959,16
"MT","2","1","Cap","LW",1977,NA,1959,18
"MT","2","1","Cap","LW",1979,NA,1959,20
"MT","2","1","Cap","LW",1980,NA,1959,21
"MT","2","1","Cap","LW",1982,"Mixed",1959,23
"MT","2","1","Cap","LW",1983,NA,1959,24
"MT","2","1","Cap","LW",1984,NA,1959,25
"MT","2","1","Cap","LW",1985,NA,1959,26
"MT","2","1","Cap","LW",1986,NA,1959,27
"MT","2","1","Cap","LW",1987,NA,1959,28
"MT","2","1","Cap","LW",1989,NA,1959,30
"MT","2","1","Cap","LW",1990,NA,1959,31
"MT","2","1","Cap","LW",1991,NA,1959,32
"MT","2","1","Cap","LW",1992,NA,1959,33
"MT","2","1","Cap","LW",1993,NA,1959,34
"MT","2","1","Cap","LW",1994,NA,1959,35
"MT","2","1","Cap","LW",1995,NA,1959,36
"MT","2","1","Cap","LW",1996,NA,1959,37
"MT","2","1","Cap","LW",1997,NA,1959,38
"MT","2","1","Cap","LW",1998,NA,1959,39
"MT","2","1","Cap","LW",1999,NA,1959,40
"MT","3","1","Cap","EW",1961,NA,1961,0
"MT","3","1","Cap","EW",1962,NA,1961,1
"MT","3","1","Cap","EW",1963,NA,1961,2
"MT","3","1","Cap","EW",1964,NA,1961,3
"MT","3","1","Cap","EW",1965,NA,1961,4
"MT","3","1","Cap","EW",1966,NA,1961,5
"MT","3","1","Cap","EW",1967,NA,1961,6
"MT","3","1","Cap","EW",1968,NA,1961,7
"MT","3","1","Cap","EW",1969,NA,1961,8
"MT","3","1","Cap","EW",1970,NA,1961,9
"MT","3","1","Cap","EW",1971,NA,1961,10
"MT","3","1","Cap","EW",1972,NA,1961,11
"MT","3","1","Cap","EW",1973,NA,1961,12
"MT","3","1","Cap","EW",1974,NA,1961,13
"MT","3","1","Cap","EW",1975,NA,1961,14
"MT","3","1","Cap","EW",1976,NA,1961,15
"MT","3","1","Cap","EW",1978,NA,1961,17
"MT","3","1","Cap","EW",1979,NA,1961,18
"MT","3","1","Cap","EW",1980,NA,1961,19
"MT","3","1","Cap","EW",1981,NA,1961,20
"MT","3","1","Cap","EW",1983,NA,1961,22
"MT","3","1","Cap","EW",1984,NA,1961,23
"MT","3","1","Cap","EW",1985,NA,1961,24
"MT","3","1","Cap","EW",1986,NA,1961,25
"MT","3","1","Cap","EW",1987,NA,1961,26
"MT","3","1","Cap","EW",1988,NA,1961,27
"MT","3","1","Cap","EW",1989,NA,1961,28
"MT","3","1","Cap","EW",1990,NA,1961,29
"MT","3","1","Cap","EW",1991,NA,1961,30
"MT","3","1","Cap","EW",1992,NA,1961,31
"MT","3","1","Cap","EW",1993,NA,1961,32
"MT","3","1","Cap","EW",1994,NA,1961,33
"MT","3","1","Cap","EW",1995,NA,1961,34
"MT","3","1","Cap","EW",1997,NA,1961,36
"MT","3","1","Cap","EW",1998,NA,1961,37
"MT","3","1","Cap","EW",1999,NA,1961,38
"MT","3","1","Cap","EW",2000,NA,1961,39
"MT","3","1","Cap","EW",2001,NA,1961,40
"MT","3","1","Cap","EW",2002,NA,1961,41
"MT","3","1","Cap","EW",2003,NA,1961,42
"MT","3","1","Cap","EW",2004,NA,1961,43
"MT","3","1","Cap","EW",2005,NA,1961,44
"MT","3","1","Cap","EW",2006,NA,1961,45
"MT","3","1","Cap","EW",2007,NA,1961,46
"MT","3","1","Cap","EW",2008,NA,1961,47
"MT","3","1","Cap","EW",2009,NA,1961,48
"MT","3","1","Cap","EW",2010,NA,1961,49
"MT","3","1","Cap","EW",2011,NA,1961,50
"MT","3","1","Cap","EW",2012,NA,1961,51
"MT","3","1","Cap","EW",2013,NA,1961,52
"MT","3","1","Cap","EW",2014,NA,1961,53
"MT","3","1","Cap","EW",2015,NA,1961,54
"MT","3","1","Cap","EW",2016,NA,1961,55
"MT","3","1","Cap","EW",2017,NA,1961,56
"MT","3","1","Cap","EW",2018,NA,1961,57
"MT","3","1","Cap","EW",2020,NA,1961,59
"MT","3","1","Cap","EW",2021,NA,1961,60
"MT","3","1","Cap","LW",1966,NA,1961,5
"MT","3","1","Cap","LW",1970,NA,1961,9
"MT","3","1","Cap","LW",1971,NA,1961,10
"MT","3","1","Cap","LW",1972,NA,1961,11
"MT","3","1","Cap","LW",1973,NA,1961,12
"MT","3","1","Cap","LW",1982,NA,1961,21
"MT","3","1","Cap","LW",1984,NA,1961,23
