"species","sample","ind","loc","ring","year","comment","first_year","growth_years"
"PP","1","1","Ref","EW",2005,"valid",2005,0
"PP","1","1","Ref","EW",2006,"valid",2005,1
"PP","1","1","Ref","EW",2007,"valid",2005,2
"PP","1","1","Ref","EW",2008,"valid",2005,3
"PP","1","1","Ref","EW",2009,"valid",2005,4
"PP","1","1","Ref","EW",2011,"valid",2005,6
"PP","1","1","Ref","EW",2012,"valid",2005,7
"PP","1","1","Ref","EW",2013,"valid",2005,8
"PP","1","1","Ref","EW",2014,"valid",2005,9
"PP","1","1","Ref","EW",2015,"valid",2005,10
"PP","1","1","Ref","EW",2017,"valid",2005,12
"PP","1","1","Ref","EW",2018,"valid",2005,13
"PP","1","1","Ref","EW",2019,"valid",2005,14
"PP","1","1","Ref","EW",2020,"valid",2005,15
"PP","1","1","Ref","EW",2021,"valid",2005,16
"PP","1","1","Ref","EW",2022,"valid",2005,17
"PP","1","1","Ref","EW",2023,"valid",2005,18
"PP","1","1","Ref","EW",2024,"valid",2005,19
"PP","1","2","Ref","EW",2006,"valid",2005,1
"PP","1","2","Ref","EW",2007,"valid",2005,2
"PP","1","2","Ref","EW",2008,"valid",2005,3
"PP","1","2","Ref","EW",2009,"valid",2005,4
"PP","1","2","Ref","EW",2011,"valid",2005,6
"PP","1","2","Ref","EW",2013,"valid",2005,8
"PP","1","2","Ref","EW",2014,"valid",2005,9
"PP","1","2","Ref","EW",2015,"valid",2005,10
"PP","1","2","Ref","EW",2016,"valid",2005,11
"PP","1","2","Ref","EW",2017,"valid",2005,12
"PP","1","2","Ref","EW",2018,"valid",2005,13
"PP","1","2","Ref","EW",2019,"valid",2005,14
"PP","1","2","Ref","EW",2020,"valid",2005,15
"PP","1","2","Ref","EW",2021,"valid",2005,16
"PP","1","2","Ref","EW",2022,"valid",2005,17
"PP","1","2","Ref","EW",2023,"valid",2005,18
"PP","1","2","Ref","EW",2024,"valid",2005,19
"PP","1","3","Ref","EW",2006,"valid",2005,1
"PP","1","3","Ref","EW",2007,"valid",2005,2
"PP","1","3","Ref","EW",2008,"valid",2005,3
"PP","1","3","Ref","EW",2009,"valid",2005,4
"PP","1","3","Ref","EW",2011,"valid",2005,6
"PP","1","3","Ref","EW",2013,"valid",2005,8
"PP","1","3","Ref","EW",2014,"valid",2005,9
"PP","1","3","Ref","EW",2015,"valid",2005,10
"PP","1","3","Ref","EW",2016,"valid",2005,11
"PP","1","3","Ref","EW",2017,"valid",2005,12
"PP","1","3","Ref","EW",2018,"valid",2005,13
"PP","1","3","Ref","EW",2019,"valid",2005,14
"PP","1","3","Ref","EW",2020,"valid",2005,15
"PP","1","3","Ref","EW",2021,"valid",2005,16
"PP","1","3","Ref","EW",2022,"valid",2005,17
"PP","1","3","Ref","EW",2024,"valid",2005,19
"PP","1","1","Ref","LW",2005,"valid",2005,0
"PP","1","1","Ref","LW",2006,"valid",2005,1
"PP","1","1","Ref","LW",2007,"valid",2005,2
"PP","1","1","Ref","LW",2008,"valid",2005,3
"PP","1","1","Ref","LW",2009,"valid",2005,4
"PP","1","1","Ref","LW",2010,"valid",2005,5
"PP","1","1","Ref","LW",2011,"valid",2005,6
"PP","1","1","Ref","LW",2012,"valid",2005,7
"PP","1","1","Ref","LW",2013,"valid",2005,8
"PP","1","1","Ref","LW",2014,"valid",2005,9
"PP","1","1","Ref","LW",2015,"valid",2005,10
"PP","1","1","Ref","LW",2016,"valid",2005,11
"PP","1","1","Ref","LW",2017,"valid",2005,12
"PP","1","1","Ref","LW",2018,"valid",2005,13
"PP","1","1","Ref","LW",2019,"valid",2005,14
"PP","1","1","Ref","LW",2020,"valid",2005,15
"PP","1","1","Ref","LW",2021,"valid",2005,16
"PP","1","1","Ref","LW",2022,"valid",2005,17
"PP","1","1","Ref","LW",2023,"valid",2005,18
"PP","1","2","Ref","LW",2005,"valid",2005,0
"PP","1","2","Ref","LW",2006,"valid",2005,1
"PP","1","2","Ref","LW",2007,"valid",2005,2
"PP","1","2","Ref","LW",2008,"valid",2005,3
"PP","1","2","Ref","LW",2009,"valid",2005,4
"PP","1","2","Ref","LW",2010,"valid",2005,5
"PP","1","2","Ref","LW",2012,"valid",2005,7
"PP","1","2","Ref","LW",2013,"valid",2005,8
"PP","1","2","Ref","LW",2014,"valid",2005,9
"PP","1","2","Ref","LW",2015,"valid",2005,10
"PP","1","2","Ref","LW",2016,"valid",2005,11
"PP","1","2","Ref","LW",2017,"valid",2005,12
"PP","1","2","Ref","LW",2018,"valid",2005,13
"PP","1","2","Ref","LW",2019,"valid",2005,14
"PP","1","2","Ref","LW",2020,"valid",2005,15
"PP","1","2","Ref","LW",2021,"valid",2005,16
"PP","1","2","Ref","LW",2022,"valid",2005,17
"PP","1","2","Ref","LW",2023,"ganzevtlMixed",2005,18
"PP","1","3","Ref","LW",2006,"valid",2005,1
"PP","1","3","Ref","LW",2007,"valid",2005,2
"PP","1","3","Ref","LW",2010,"valid",2005,5
"PP","1","3","Ref","LW",2012,"valid",2005,7
"PP","1","3","Ref","LW",2013,"valid",2005,8
"PP","1","3","Ref","LW",2014,"valid",2005,9
"PP","1","3","Ref","LW",2015,"valid",2005,10
"PP","1","3","Ref","LW",2016,"valid",2005,11
"PP","1","3","Ref","LW",2018,"valid",2005,13
"PP","1","3","Ref","LW",2019,"valid",2005,14
"PP","1","3","Ref","LW",2020,"valid",2005,15
"PP","1","3","Ref","LW",2021,"valid",2005,16
"PP","1","3","Ref","LW",2022,"valid",2005,17
"PP","1","3","Ref","LW",2023,"valid",2005,18
