TITLE;
DATA TYPE;INFRARED SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;25/03/28
TIME;12:28:20
SPECTROMETER/DATA SYSTEM;
LOCALE;9226
RESOLUTION;
DELTAX;0,964233
XUNITS;1/CM
YUNITS;ABSORBANCE
FIRSTX;  399,1927
LASTX; 4000,6047
NPOINTS;    3736
FIRSTY;     0,40540
MAXY;     0,45318
MINY;     0,00664
XYDATA
399,1927;0,405404
400,1569;0,402101
401,1211;0,399728
402,0854;0,398214
403,0496;0,397517
404,0138;0,397672
404,9781;0,398647
405,9423;0,400182
406,9065;0,401787
407,8708;0,402927
408,8350;0,403284
409,7992;0,40292
410,7635;0,402254
411,7277;0,401862
412,6919;0,402173
413,6562;0,403271
414,6204;0,404914
415,5846;0,406676
416,5489;0,408037
417,5131;0,408488
418,4773;0,407826
419,4416;0,406521
420,4058;0,405423
421,3700;0,404982
422,3343;0,405104
423,2985;0,405523
424,2627;0,406031
425,2270;0,406508
426,1912;0,406869
427,1554;0,407036
428,1197;0,406949
429,0839;0,406597
430,0481;0,406036
431,0124;0,405344
431,9766;0,404552
432,9408;0,403613
433,9051;0,402451
434,8693;0,401084
435,8335;0,399694
436,7978;0,39856
437,7620;0,397876
438,7262;0,397604
439,6905;0,397485
440,6547;0,397181
441,6189;0,396454
442,5832;0,39531
443,5474;0,394001
444,5116;0,392878
445,4759;0,392172
446,4401;0,391894
447,4043;0,391888
448,3686;0,391945
449,3328;0,391891
450,2970;0,391642
451,2613;0,391213
452,2255;0,390699
453,1897;0,390229
454,1540;0,389899
455,1182;0,389735
456,0824;0,389662
457,0467;0,389518
458,0109;0,389133
458,9751;0,388441
459,9394;0,387526
460,9036;0,386543
461,8678;0,385608
462,8321;0,38475
463,7963;0,383937
464,7605;0,383133
465,7248;0,382362
466,6890;0,381732
467,6532;0,381387
468,6175;0,381421
469,5817;0,381785
470,5459;0,382261
471,5102;0,382517
472,4744;0,382292
473,4386;0,381573
474,4029;0,380612
475,3671;0,379742
476,3313;0,379175
477,2956;0,378937
478,2598;0,378913
479,2240;0,378941
480,1883;0,378902
481,1525;0,378757
482,1167;0,378539
483,0810;0,378307
484,0452;0,378107
485,0094;0,377969
485,9737;0,377916
486,9379;0,377979
487,9021;0,37819
488,8664;0,378551
489,8306;0,379009
490,7948;0,379447
491,7591;0,379731
492,7233;0,37978
493,6875;0,379633
494,6518;0,379434
495,6160;0,379359
496,5802;0,379527
497,5445;0,379946
498,5087;0,380526
499,4729;0,38112
500,4372;0,381588
501,4014;0,381847
502,3656;0,3819
503,3299;0,381823
504,2941;0,381723
505,2583;0,381699
506,2226;0,381826
507,1868;0,382145
508,1510;0,382661
509,1153;0,383328
510,0795;0,384053
511,0437;0,384725
512,0080;0,385248
512,9722;0,38557
513,9365;0,385687
514,9007;0,385632
515,8649;0,38547
516,8292;0,385282
517,7934;0,385153
518,7576;0,385138
519,7219;0,385238
520,6861;0,385394
521,6503;0,385517
522,6146;0,385517
523,5788;0,38533
524,5430;0,384935
525,5073;0,384351
526,4715;0,383624
527,4357;0,382792
528,4000;0,381876
529,3642;0,380892
530,3284;0,379886
531,2927;0,378935
532,2569;0,378125
533,2211;0,377493
534,1854;0,376994
535,1496;0,376519
536,1138;0,37596
537,0781;0,375281
538,0423;0,374541
539,0065;0,373856
539,9708;0,37333
540,9350;0,373006
541,8992;0,372859
542,8635;0,372833
543,8277;0,372879
544,7919;0,372963
545,7562;0,373063
546,7204;0,373157
547,6846;0,373216
548,6489;0,37323
549,6131;0,373209
550,5773;0,373184
551,5416;0,373185
552,5058;0,373229
553,4700;0,373313
554,4343;0,373423
555,3985;0,373534
556,3627;0,373592
557,3270;0,373505
558,2912;0,373143
559,2554;0,372378
560,2197;0,371146
561,1839;0,36949
562,1481;0,36757
563,1124;0,365606
564,0766;0,363796
565,0408;0,362249
566,0051;0,360964
566,9693;0,359862
567,9335;0,358842
568,8978;0,357847
569,8620;0,356882
570,8262;0,356002
571,7905;0,355258
572,7547;0,354667
573,7189;0,354193
574,6832;0,35376
575,6474;0,353296
576,6116;0,35276
577,5759;0,352165
578,5401;0,351552
579,5043;0,350956
580,4686;0,350375
581,4328;0,349771
582,3970;0,349097
583,3613;0,348336
584,3255;0,34752
585,2897;0,346717
586,2540;0,345996
587,2182;0,345395
588,1824;0,344906
589,1467;0,344477
590,1109;0,344032
591,0751;0,343497
592,0394;0,342821
593,0036;0,341997
593,9678;0,34106
594,9321;0,340071
595,8963;0,33908
596,8605;0,338107
597,8248;0,337135
598,7890;0,336136
599,7532;0,3351
600,7175;0,334062
601,6817;0,333095
602,6459;0,332285
603,6102;0,33168
604,5744;0,331258
605,5386;0,330929
606,5029;0,330557
607,4671;0,330012
608,4313;0,329217
609,3956;0,32817
610,3598;0,326952
611,3240;0,325687
612,2883;0,324495
613,2525;0,32344
614,2167;0,322503
615,1810;0,321585
616,1452;0,320543
617,1094;0,319258
618,0737;0,317686
619,0379;0,315875
620,0021;0,313932
620,9664;0,311966
621,9306;0,310061
622,8948;0,308274
623,8591;0,306649
624,8233;0,305166
625,7875;0,303913
626,7518;0,30284
627,7160;0,30186
628,6802;0,300878
629,6445;0,299826
630,6087;0,298683
631,5729;0,297468
632,5372;0,29622
633,5014;0,294977
634,4656;0,293772
635,4299;0,292625
636,3941;0,291547
637,3583;0,290537
638,3226;0,289579
639,2868;0,288649
640,2510;0,287729
641,2153;0,286819
642,1795;0,285933
643,1437;0,285091
644,1080;0,284294
645,0722;0,283519
646,0364;0,282723
647,0007;0,281867
647,9649;0,280939
648,9291;0,279976
649,8934;0,279046
650,8576;0,278227
651,8218;0,277572
652,7861;0,277099
