TITLE;
DATA TYPE;INFRARED SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;25/03/28
TIME;17:53:21
SPECTROMETER/DATA SYSTEM;
LOCALE;9226
RESOLUTION;
DELTAX;0,964233
XUNITS;1/CM
YUNITS;ABSORBANCE
FIRSTX;  399,1927
LASTX; 4000,6047
NPOINTS;    3736
FIRSTY;     0,17088
MAXY;     0,17088
MINY;     0,01493
XYDATA
399,1927;0,170877
400,1569;0,169298
401,1211;0,167745
402,0854;0,166525
403,0496;0,165492
404,0138;0,164456
404,9781;0,163438
405,9423;0,162698
406,9065;0,162531
407,8708;0,162977
408,8350;0,163716
409,7992;0,164234
410,7635;0,164155
411,7277;0,163493
412,6919;0,16262
413,6562;0,16196
414,6204;0,161701
415,5846;0,161719
416,5489;0,161687
417,5131;0,161281
418,4773;0,160524
419,4416;0,159938
420,4058;0,160058
421,3700;0,160874
422,3343;0,161986
423,2985;0,163015
424,2627;0,16377
425,2270;0,164258
426,1912;0,164614
427,1554;0,16498
428,1197;0,165403
429,0839;0,16582
430,0481;0,166132
431,0124;0,166297
431,9766;0,166366
432,9408;0,166437
433,9051;0,166553
434,8693;0,166643
435,8335;0,166576
436,7978;0,166283
437,7620;0,165854
438,7262;0,165498
439,6905;0,165408
440,6547;0,165624
441,6189;0,165986
442,5832;0,16622
443,5474;0,166131
444,5116;0,165771
445,4759;0,165399
446,4401;0,165261
447,4043;0,165399
448,3686;0,165628
449,3328;0,165679
450,2970;0,165386
451,2613;0,164802
452,2255;0,164166
453,1897;0,163736
454,1540;0,163631
455,1182;0,163805
456,0824;0,164128
457,0467;0,164527
458,0109;0,165046
458,9751;0,165766
459,9394;0,16664
460,9036;0,167443
461,8678;0,167892
462,8321;0,167807
463,7963;0,167225
464,7605;0,166409
465,7248;0,165733
466,6890;0,165456
467,6532;0,165551
468,6175;0,16574
469,5817;0,165686
470,5459;0,165226
471,5102;0,164496
472,4744;0,163849
473,4386;0,163589
474,4029;0,163745
475,3671;0,164091
476,3313;0,164347
477,2956;0,164349
478,2598;0,164083
479,2240;0,163619
480,1883;0,163039
481,1525;0,162396
482,1167;0,161743
483,0810;0,161173
484,0452;0,160816
485,0094;0,160758
485,9737;0,160963
486,9379;0,161275
487,9021;0,161517
488,8664;0,161587
489,8306;0,161509
490,7948;0,161401
491,7591;0,161393
492,7233;0,161531
493,6875;0,16175
494,6518;0,161914
495,6160;0,161904
496,5802;0,161674
497,5445;0,161255
498,5087;0,160722
499,4729;0,160162
500,4372;0,159654
501,4014;0,159266
502,3656;0,159052
503,3299;0,159042
504,2941;0,159225
505,2583;0,15954
506,2226;0,159884
507,1868;0,160136
508,1510;0,160205
509,1153;0,160078
510,0795;0,159836
511,0437;0,15961
512,0080;0,159503
512,9722;0,159541
513,9365;0,15966
514,9007;0,159751
515,8649;0,15973
516,8292;0,159592
517,7934;0,159426
518,7576;0,159345
519,7219;0,159406
520,6861;0,159563
521,6503;0,159711
522,6146;0,159745
523,5788;0,159608
524,5430;0,159305
525,5073;0,1589
526,4715;0,158477
527,4357;0,158092
528,4000;0,157751
529,3642;0,157423
530,3284;0,157078
531,2927;0,156702
532,2569;0,156308
533,2211;0,15592
534,1854;0,155551
535,1496;0,155204
536,1138;0,15487
537,0781;0,154546
538,0423;0,154242
539,0065;0,153973
539,9708;0,153751
540,9350;0,153581
541,8992;0,153458
542,8635;0,153383
543,8277;0,153364
544,7919;0,153404
545,7562;0,153489
546,7204;0,15358
547,6846;0,153619
548,6489;0,153561
549,6131;0,153397
550,5773;0,153165
551,5416;0,152937
552,5058;0,152775
553,4700;0,152709
554,4343;0,15272
555,3985;0,152747
556,3627;0,152715
557,3270;0,15256
558,2912;0,152248
559,2554;0,151775
560,2197;0,151159
561,1839;0,150436
562,1481;0,149654
563,1124;0,148862
564,0766;0,148101
565,0408;0,147394
566,0051;0,146746
566,9693;0,146155
567,9335;0,14562
568,8978;0,145148
569,8620;0,144741
570,8262;0,144391
571,7905;0,144069
572,7547;0,143742
573,7189;0,143386
574,6832;0,143002
575,6474;0,142613
576,6116;0,142255
577,5759;0,141954
578,5401;0,141712
579,5043;0,141516
580,4686;0,141346
581,4328;0,141189
582,3970;0,141046
583,3613;0,140919
584,3255;0,140803
585,2897;0,14068
586,2540;0,140522
587,2182;0,140305
588,1824;0,14003
589,1467;0,139723
590,1109;0,139428
591,0751;0,139184
592,0394;0,139003
593,0036;0,138856
593,9678;0,138693
594,9321;0,138468
595,8963;0,138163
596,8605;0,13779
597,8248;0,137374
598,7890;0,136942
599,7532;0,136514
600,7175;0,136106
601,6817;0,135733
602,6459;0,135415
603,6102;0,135163
604,5744;0,134975
605,5386;0,134833
606,5029;0,134706
607,4671;0,13456
608,4313;0,134367
609,3956;0,134111
610,3598;0,133783
611,3240;0,133383
612,2883;0,132926
613,2525;0,132436
614,2167;0,131939
615,1810;0,131453
616,1452;0,130982
617,1094;0,130517
618,0737;0,130041
619,0379;0,129539
620,0021;0,129005
620,9664;0,128438
621,9306;0,12784
622,8948;0,127217
623,8591;0,126581
624,8233;0,125936
625,7875;0,12533
626,7518;0,124774
627,7160;0,124268
628,6802;0,123808
629,6445;0,123394
630,6087;0,123025
631,5729;0,122693
632,5372;0,122376
633,5014;0,122037
634,4656;0,121648
635,4299;0,121202
636,3941;0,120725
637,3583;0,120255
638,3226;0,119822
639,2868;0,119432
640,2510;0,119074
641,2153;0,11874
642,1795;0,118437
643,1437;0,118186
644,1080;0,117998
645,0722;0,117859
646,0364;0,117727
647,0007;0,117556
647,9649;0,117326
648,9291;0,117055
649,8934;0,116789
650,8576;0,11656
651,8218;0,11637
652,7861;0,116196
