TITLE;
DATA TYPE;INFRARED SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;25/03/28
TIME;17:26:58
SPECTROMETER/DATA SYSTEM;
LOCALE;9226
RESOLUTION;
DELTAX;0,964233
XUNITS;1/CM
YUNITS;ABSORBANCE
FIRSTX;  399,1927
LASTX; 4000,6047
NPOINTS;    3736
FIRSTY;     0,33967
MAXY;     0,38107
MINY;     0,01646
XYDATA
399,1927;0,339672
400,1569;0,33512
401,1211;0,331058
402,0854;0,328873
403,0496;0,328824
404,0138;0,330381
404,9781;0,332485
405,9423;0,333938
406,9065;0,334021
407,8708;0,332962
408,8350;0,331825
409,7992;0,331823
410,7635;0,333532
411,7277;0,336478
412,6919;0,339413
413,6562;0,341105
414,6204;0,34095
415,5846;0,339086
416,5489;0,336276
417,5131;0,333865
418,4773;0,333452
419,4416;0,335666
420,4058;0,339291
421,3700;0,342472
422,3343;0,344185
423,2985;0,34433
424,2627;0,343299
425,2270;0,341709
426,1912;0,340217
427,1554;0,339286
428,1197;0,339029
429,0839;0,339237
430,0481;0,339554
431,0124;0,339682
431,9766;0,339513
432,9408;0,339135
433,9051;0,338719
434,8693;0,338369
435,8335;0,338039
436,7978;0,337591
437,7620;0,33693
438,7262;0,336111
439,6905;0,335334
440,6547;0,334851
441,6189;0,334826
442,5832;0,33522
443,5474;0,33577
444,5116;0,336111
445,4759;0,335979
446,4401;0,335332
447,4043;0,334326
448,3686;0,333221
449,3328;0,332287
450,2970;0,331723
451,2613;0,331582
452,2255;0,331723
453,1897;0,331859
454,1540;0,331703
455,1182;0,33116
456,0824;0,330469
457,0467;0,330174
458,0109;0,330803
458,9751;0,332405
459,9394;0,334394
460,9036;0,335943
461,8678;0,336478
462,8321;0,335893
463,7963;0,334501
464,7605;0,332846
465,7248;0,331464
466,6890;0,330648
467,6532;0,330367
468,6175;0,330356
469,5817;0,330292
470,5459;0,329948
471,5102;0,329272
472,4744;0,328394
473,4386;0,327524
474,4029;0,326799
475,3671;0,326197
476,3313;0,325587
477,2956;0,324844
478,2598;0,323957
479,2240;0,323055
480,1883;0,322341
481,1525;0,32198
482,1167;0,321991
483,0810;0,32223
484,0452;0,322474
485,0094;0,322542
485,9737;0,322393
486,9379;0,322102
487,9021;0,321786
488,8664;0,321527
489,8306;0,32136
490,7948;0,321279
491,7591;0,321256
492,7233;0,321252
493,6875;0,321252
494,6518;0,321288
495,6160;0,32143
496,5802;0,321742
497,5445;0,322213
498,5087;0,322718
499,4729;0,323045
500,4372;0,323002
501,4014;0,322563
502,3656;0,321933
503,3299;0,321454
504,2941;0,321391
505,2583;0,32178
506,2226;0,322432
507,1868;0,323063
508,1510;0,323458
509,1153;0,323568
510,0795;0,323514
511,0437;0,323492
512,0080;0,323668
512,9722;0,324113
513,9365;0,324797
514,9007;0,325589
515,8649;0,326287
516,8292;0,326668
517,7934;0,326593
518,7576;0,326105
519,7219;0,325418
520,6861;0,324796
521,6503;0,324405
522,6146;0,324251
523,5788;0,324203
524,5430;0,324075
525,5073;0,323725
526,4715;0,32314
527,4357;0,322437
528,4000;0,321771
529,3642;0,321234
530,3284;0,320814
531,2927;0,320431
532,2569;0,319992
533,2211;0,319448
534,1854;0,318815
535,1496;0,318158
536,1138;0,317553
537,0781;0,317048
538,0423;0,316644
539,0065;0,316307
539,9708;0,315988
540,9350;0,315656
541,8992;0,315321
542,8635;0,315042
543,8277;0,314902
544,7919;0,314956
545,7562;0,31519
546,7204;0,315496
547,6846;0,31572
548,6489;0,315755
549,6131;0,315619
550,5773;0,315457
551,5416;0,315457
552,5058;0,315729
553,4700;0,316223
554,4343;0,316736
555,3985;0,317004
556,3627;0,316833
557,3270;0,316167
558,2912;0,31508
559,2554;0,313703
560,2197;0,312158
561,1839;0,310533
562,1481;0,308903
563,1124;0,307348
564,0766;0,305936
565,0408;0,304703
566,0051;0,303628
566,9693;0,302649
567,9335;0,301699
568,8978;0,300742
569,8620;0,299789
570,8262;0,298882
571,7905;0,298066
572,7547;0,297378
573,7189;0,296834
574,6832;0,296428
575,6474;0,296113
576,6116;0,295809
577,5759;0,295428
578,5401;0,294918
579,5043;0,294295
580,4686;0,293635
581,4328;0,293035
582,3970;0,292555
583,3613;0,292187
584,3255;0,291862
585,2897;0,291495
586,2540;0,291028
587,2182;0,290454
588,1824;0,289806
589,1467;0,289136
590,1109;0,288495
591,0751;0,287921
592,0394;0,287424
593,0036;0,286971
593,9678;0,286489
594,9321;0,285895
595,8963;0,285132
596,8605;0,284203
597,8248;0,283185
598,7890;0,282201
599,7532;0,281365
600,7175;0,280729
601,6817;0,280261
602,6459;0,279863
603,6102;0,279424
604,5744;0,278862
605,5386;0,278157
606,5029;0,277349
607,4671;0,276517
608,4313;0,275737
609,3956;0,275041
610,3598;0,274396
611,3240;0,273721
612,2883;0,272928
613,2525;0,271973
614,2167;0,270871
615,1810;0,269674
616,1452;0,268428
617,1094;0,267137
618,0737;0,26577
619,0379;0,264302
620,0021;0,262759
620,9664;0,261211
621,9306;0,259743
622,8948;0,258399
623,8591;0,257171
624,8233;0,255986
625,7875;0,254808
626,7518;0,253612
627,7160;0,252421
628,6802;0,25128
629,6445;0,250222
630,6087;0,249238
631,5729;0,248282
632,5372;0,247288
633,5014;0,246206
634,4656;0,245022
635,4299;0,243769
636,3941;0,242511
637,3583;0,241312
638,3226;0,240217
639,2868;0,239222
640,2510;0,238279
641,2153;0,23731
642,1795;0,236251
643,1437;0,23508
644,1080;0,233843
645,0722;0,232628
646,0364;0,231534
647,0007;0,230628
647,9649;0,229925
648,9291;0,229392
649,8934;0,228963
650,8576;0,228579
651,8218;0,228201
652,7861;0,227828
