TITLE;
DATA TYPE;INFRARED SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;25/03/28
TIME;16:59:28
SPECTROMETER/DATA SYSTEM;
LOCALE;9226
RESOLUTION;
DELTAX;0,964233
XUNITS;1/CM
YUNITS;ABSORBANCE
FIRSTX;  399,1927
LASTX; 4000,6047
NPOINTS;    3736
FIRSTY;     0,28937
MAXY;     0,28937
MINY;     0,01324
XYDATA
399,1927;0,289374
400,1569;0,286759
401,1211;0,283949
402,0854;0,281422
403,0496;0,279299
404,0138;0,277618
404,9781;0,276466
405,9423;0,275958
406,9065;0,27612
407,8708;0,276784
408,8350;0,277603
409,7992;0,278173
410,7635;0,278207
411,7277;0,277662
412,6919;0,276728
413,6562;0,27569
414,6204;0,274786
415,5846;0,274175
416,5489;0,27399
417,5131;0,274352
418,4773;0,275212
419,4416;0,276169
420,4058;0,276657
421,3700;0,276373
422,3343;0,275345
423,2985;0,273747
424,2627;0,271832
425,2270;0,26993
426,1912;0,26839
427,1554;0,267453
428,1197;0,267156
429,0839;0,267339
430,0481;0,267735
431,0124;0,268079
431,9766;0,268199
432,9408;0,268044
433,9051;0,267654
434,8693;0,267095
435,8335;0,266399
436,7978;0,26557
437,7620;0,264615
438,7262;0,26358
439,6905;0,262548
440,6547;0,261614
441,6189;0,260859
442,5832;0,260323
443,5474;0,260014
444,5116;0,259919
445,4759;0,260018
446,4401;0,260269
447,4043;0,260584
448,3686;0,26082
449,3328;0,260814
450,2970;0,260445
451,2613;0,259699
452,2255;0,25868
453,1897;0,257558
454,1540;0,256508
455,1182;0,255662
456,0824;0,255116
457,0467;0,254916
458,0109;0,255024
458,9751;0,255291
459,9394;0,255519
460,9036;0,255576
461,8678;0,255456
462,8321;0,255249
463,7963;0,25507
464,7605;0,254968
465,7248;0,254867
466,6890;0,254583
467,6532;0,253942
468,6175;0,252905
469,5817;0,25164
470,5459;0,250483
471,5102;0,249793
472,4744;0,249735
473,4386;0,25015
474,4029;0,25066
475,3671;0,250922
476,3313;0,250806
477,2956;0,250386
478,2598;0,249841
479,2240;0,249339
480,1883;0,248969
481,1525;0,248728
482,1167;0,248563
483,0810;0,248418
484,0452;0,24826
485,0094;0,248068
485,9737;0,247828
486,9379;0,247526
487,9021;0,247168
488,8664;0,24679
489,8306;0,246452
490,7948;0,246213
491,7591;0,246109
492,7233;0,246134
493,6875;0,246255
494,6518;0,246442
495,6160;0,246672
496,5802;0,246922
497,5445;0,247151
498,5087;0,247303
499,4729;0,247325
500,4372;0,247204
501,4014;0,246984
502,3656;0,246748
503,3299;0,246567
504,2941;0,246463
505,2583;0,246415
506,2226;0,246405
507,1868;0,246449
508,1510;0,246595
509,1153;0,246878
510,0795;0,247286
511,0437;0,247754
512,0080;0,2482
512,9722;0,248568
513,9365;0,248841
514,9007;0,249033
515,8649;0,249152
516,8292;0,249187
517,7934;0,249123
518,7576;0,248964
519,7219;0,248744
520,6861;0,248495
521,6503;0,248215
522,6146;0,247866
523,5788;0,2474
524,5430;0,246816
525,5073;0,246183
526,4715;0,245623
527,4357;0,245232
528,4000;0,245012
529,3642;0,244871
530,3284;0,244678
531,2927;0,24433
532,2569;0,243793
533,2211;0,24311
534,1854;0,242385
535,1496;0,241734
536,1138;0,241245
537,0781;0,240947
538,0423;0,240811
539,0065;0,240765
539,9708;0,240727
540,9350;0,240637
541,8992;0,240479
542,8635;0,240275
543,8277;0,240072
544,7919;0,239913
545,7562;0,239826
546,7204;0,23982
547,6846;0,239887
548,6489;0,240008
549,6131;0,240152
550,5773;0,24028
551,5416;0,240358
552,5058;0,240366
553,4700;0,240313
554,4343;0,240224
555,3985;0,240118
556,3627;0,239983
557,3270;0,239761
558,2912;0,239374
559,2554;0,238755
560,2197;0,237895
561,1839;0,23685
562,1481;0,235727
563,1124;0,234637
564,0766;0,233647
565,0408;0,232767
566,0051;0,231959
566,9693;0,231182
567,9335;0,230428
568,8978;0,229728
569,8620;0,22913
570,8262;0,228658
571,7905;0,228288
572,7547;0,227964
573,7189;0,227623
574,6832;0,22723
575,6474;0,226784
576,6116;0,226308
577,5759;0,225824
578,5401;0,225337
579,5043;0,224845
580,4686;0,224358
581,4328;0,223906
582,3970;0,223529
583,3613;0,223241
584,3255;0,223018
585,2897;0,222806
586,2540;0,222561
587,2182;0,222278
588,1824;0,221986
589,1467;0,221715
590,1109;0,221453
591,0751;0,221129
592,0394;0,220656
593,0036;0,219999
593,9678;0,219208
594,9321;0,218401
595,8963;0,217698
596,8605;0,217154
597,8248;0,216742
598,7890;0,216376
599,7532;0,215962
600,7175;0,215452
601,6817;0,214864
602,6459;0,21426
603,6102;0,213712
604,5744;0,21326
605,5386;0,212897
606,5029;0,21257
607,4671;0,212205
608,4313;0,211736
609,3956;0,211136
610,3598;0,210428
611,3240;0,20966
612,2883;0,208883
613,2525;0,208118
614,2167;0,207357
615,1810;0,206577
616,1452;0,205765
617,1094;0,204926
618,0737;0,204078
619,0379;0,203235
620,0021;0,202392
620,9664;0,201529
621,9306;0,200627
622,8948;0,19968
623,8591;0,198699
624,8233;0,197702
625,7875;0,196744
626,7518;0,195852
627,7160;0,195036
628,6802;0,194277
629,6445;0,193536
630,6087;0,192764
631,5729;0,191919
632,5372;0,190988
633,5014;0,189999
634,4656;0,189008
635,4299;0,188079
636,3941;0,187253
637,3583;0,186531
638,3226;0,185878
639,2868;0,185244
640,2510;0,184586
641,2153;0,183878
642,1795;0,183115
643,1437;0,1823
644,1080;0,181442
645,0722;0,180557
646,0364;0,179674
647,0007;0,17884
647,9649;0,178117
648,9291;0,177556
649,8934;0,177177
650,8576;0,176949
651,8218;0,176814
652,7861;0,176714
