CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/1975 00:00,mm,729.5,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/1976 00:00,mm,655.3,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/1977 00:00,mm,673.3,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/1978 00:00,mm,747.8,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/1979 00:00,mm,925.5,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/1980 00:00,mm,689.1,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/1981 00:00,mm,803.7,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/1982 00:00,mm,1033.5,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/1983 00:00,mm,699.7,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/1984 00:00,mm,729.7,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/1985 00:00,mm,671.3,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/1986 00:00,mm,712.6,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/1987 00:00,mm,694.3,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/1988 00:00,mm,740.5,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/1989 00:00,mm,770,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/1990 00:00,mm,675.4,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/1991 00:00,mm,537.3,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/1992 00:00,mm,491,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/1993 00:00,mm,753.3,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/1994 00:00,mm,834.3,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/1995 00:00,mm,760.7,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/1996 00:00,mm,778.8,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/1997 00:00,mm,821.6,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/1998 00:00,mm,772.1,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/1999 00:00,mm,1043.4,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/2000 00:00,mm,733.4,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/2001 00:00,mm,698.9,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/2002 00:00,mm,691,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/2003 00:00,mm,849.1,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/2004 00:00,mm,816.6,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/2005 00:00,mm,706.1,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/2006 00:00,mm,727.7,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/2008 00:00,mm,862,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/2009 00:00,mm,770.2,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/2010 00:00,mm,1155.2,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/2011 00:00,mm,1149,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/2012 00:00,mm,756.4,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/2013 00:00,mm,713.7,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/2014 00:00,mm,662.2,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/2015 00:00,mm,634.8,Preliminar
24035260,CAPITANEJO [24035260],PRECIPITACION,Precipitación total anual,01/01/2016 00:00,mm,716.3,Preliminar
