CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1958-09-01 00:00,mm,25.6,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1958-10-01 00:00,mm,34.2,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1958-11-01 00:00,mm,6,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1958-12-01 00:00,mm,88,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1959-01-01 00:00,mm,2,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1959-02-01 00:00,mm,7,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1959-03-01 00:00,mm,19,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1959-04-01 00:00,mm,20,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1959-05-01 00:00,mm,107,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1959-06-01 00:00,mm,38,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1959-07-01 00:00,mm,16,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1959-08-01 00:00,mm,121,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1959-11-01 00:00,mm,110,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1959-12-01 00:00,mm,19,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1960-01-01 00:00,mm,12,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1960-02-01 00:00,mm,31,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1960-03-01 00:00,mm,11,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1960-04-01 00:00,mm,83,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1960-05-01 00:00,mm,68,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1960-06-01 00:00,mm,108,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1960-07-01 00:00,mm,51,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1960-08-01 00:00,mm,89,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1960-10-01 00:00,mm,70,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1960-11-01 00:00,mm,92,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1960-12-01 00:00,mm,142,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1961-01-01 00:00,mm,0,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1961-02-01 00:00,mm,3,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1961-03-01 00:00,mm,64,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1961-04-01 00:00,mm,50,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1961-05-01 00:00,mm,14,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1961-06-01 00:00,mm,31,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1961-07-01 00:00,mm,23,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1961-08-01 00:00,mm,36,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1961-09-01 00:00,mm,53,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1961-10-01 00:00,mm,65,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1961-11-01 00:00,mm,72,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1961-12-01 00:00,mm,20,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1962-01-01 00:00,mm,7,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1962-02-01 00:00,mm,21,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1962-03-01 00:00,mm,80,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1962-04-01 00:00,mm,28,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1962-05-01 00:00,mm,62,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1962-06-01 00:00,mm,116,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1962-07-01 00:00,mm,12,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1962-08-01 00:00,mm,101,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1962-09-01 00:00,mm,50,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1962-10-01 00:00,mm,128,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1962-11-01 00:00,mm,104,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1962-12-01 00:00,mm,24,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1963-01-01 00:00,mm,0,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1963-02-01 00:00,mm,44,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1963-03-01 00:00,mm,44,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1963-04-01 00:00,mm,150,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1963-05-01 00:00,mm,95,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1963-06-01 00:00,mm,0,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1963-07-01 00:00,mm,150,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1963-08-01 00:00,mm,11,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1963-09-01 00:00,mm,117,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1963-10-01 00:00,mm,173,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1963-11-01 00:00,mm,38,Preliminar
