CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1956-01-01 00:00,mm,76.2,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1956-02-01 00:00,mm,57.2,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1956-03-01 00:00,mm,44.4,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1956-04-01 00:00,mm,52.1,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1956-05-01 00:00,mm,120.6,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1956-06-01 00:00,mm,39.3,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1956-07-01 00:00,mm,100.4,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1956-08-01 00:00,mm,110.4,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1956-09-01 00:00,mm,25.4,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1956-10-01 00:00,mm,151.1,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1956-11-01 00:00,mm,71,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1956-12-01 00:00,mm,20.3,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1957-01-01 00:00,mm,0,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1957-02-01 00:00,mm,5,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1957-03-01 00:00,mm,50.6,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1957-04-01 00:00,mm,12.5,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1957-05-01 00:00,mm,15.8,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1957-06-01 00:00,mm,7.8,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1957-07-01 00:00,mm,3.1,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1957-08-01 00:00,mm,9.5,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1957-09-01 00:00,mm,70,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1957-10-01 00:00,mm,81.5,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1957-11-01 00:00,mm,76.5,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1957-12-01 00:00,mm,13.5,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1958-01-01 00:00,mm,6,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1958-02-01 00:00,mm,22,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1958-03-01 00:00,mm,13.5,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1958-04-01 00:00,mm,74,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1958-05-01 00:00,mm,145,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1958-06-01 00:00,mm,104,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1958-07-01 00:00,mm,89,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1958-08-01 00:00,mm,100.5,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1958-09-01 00:00,mm,39.5,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1958-10-01 00:00,mm,57.9,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1958-11-01 00:00,mm,31.8,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1958-12-01 00:00,mm,0,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1959-01-01 00:00,mm,0,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1959-02-01 00:00,mm,17.3,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1959-03-01 00:00,mm,79.8,Preliminar
24030990,JORDAN  [24030990],PRECIPITACION,Precipitación total mensual,1959-04-01 00:00,mm,44.5,Preliminar
