CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1973-07-01 00:00,mm,66.2,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1973-08-01 00:00,mm,116.2,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1973-09-01 00:00,mm,113.6,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1973-10-01 00:00,mm,129.8,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1973-11-01 00:00,mm,247,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1973-12-01 00:00,mm,122.6,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1974-01-01 00:00,mm,25.5,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1974-02-01 00:00,mm,32.3,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1974-03-01 00:00,mm,69.7,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1974-04-01 00:00,mm,169.8,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1974-05-01 00:00,mm,188.7,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1974-06-01 00:00,mm,23.6,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1974-07-01 00:00,mm,85.8,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1974-08-01 00:00,mm,81.4,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1974-09-01 00:00,mm,143.8,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1974-10-01 00:00,mm,245.8,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1974-11-01 00:00,mm,156.9,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1974-12-01 00:00,mm,1.3,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1975-01-01 00:00,mm,16.8,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1975-02-01 00:00,mm,71.1,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1975-03-01 00:00,mm,76.1,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1975-04-01 00:00,mm,94.1,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1975-05-01 00:00,mm,182.5,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1975-06-01 00:00,mm,107.3,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1975-07-01 00:00,mm,133.6,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1975-08-01 00:00,mm,120.7,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1975-09-01 00:00,mm,212,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1975-10-01 00:00,mm,160.1,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1975-11-01 00:00,mm,122.4,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1975-12-01 00:00,mm,158.7,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1976-01-01 00:00,mm,28.7,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1976-02-01 00:00,mm,48.5,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1976-03-01 00:00,mm,84.6,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1976-04-01 00:00,mm,136.2,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1976-05-01 00:00,mm,147.7,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1976-06-01 00:00,mm,82.9,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1976-07-01 00:00,mm,80.3,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1976-08-01 00:00,mm,54.5,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1976-09-01 00:00,mm,176.5,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1976-10-01 00:00,mm,192.6,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1976-11-01 00:00,mm,125.9,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1976-12-01 00:00,mm,11.1,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1977-01-01 00:00,mm,0.8,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1977-02-01 00:00,mm,29.2,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1977-03-01 00:00,mm,34.2,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1977-04-01 00:00,mm,39.7,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1977-05-01 00:00,mm,149.9,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1977-06-01 00:00,mm,134.6,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1977-07-01 00:00,mm,113,Preliminar
24055030,ZAPATOCA [24055030],PRECIPITACION,Precipitación total mensual,1977-08-01 00:00,mm,72.1,Preliminar
